## 1
## 전원책 변호사가 미국 공화당 대선후보였던 도널드 트럼프가 대선에서 승리한다는 미리 점치며 ‘전스트라다무스’로 등극했다.
## <전원책:PER> 변호사가 <미국 공화당:ORG> 대선후보였던 <도널드 트럼프:PER>가 대선에서 승리한다는 미리 점치며 ‘<전스트라다무스:PER>’로 등극했다.
전원책	전원책	NNP	B-PER
가	가	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
일감	일감	NNG	O
_	_	_	O
몰아주	몰아주	VV	O
기	기	ETN	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
벌이	벌이	VV	O
자	자	EC	O
_	_	_	O
6	6	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
뒤	뒤	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
주식	주식	NNG	O
_	_	_	O
전량	전량	NNG	O
을	을	JKO	O
_	_	_	O
대한항공	대한항공	NNP	B-ORG
에	에	JKB	O
_	_	_	O
팔	팔	VV	O
면서	면서	EC	O
_	_	_	O
49	49	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
매매	매매	NNG	O
차익	차익	NNG	O
도	도	JX	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 시진핑(習近平) 중국 국가주석이 지난해 9월 미국을 국빈 방문할 때, 또 한 달 후 영국을 찾을 때 중국의 정보기술(IT) 업계 총수 대부분이 동행했는데 유독 레이쥔만 빠졌다.
## <시진핑:PER>(<習近平:PER>) <중국:ORG> 국가주석이 지난해 <9월:DAT> <미국:ORG>을 국빈 방문할 때, 또 한 달 후 <영국:ORG>을 찾을 때 <중국:ORG>의 정보기술(IT) 업계 총수 대부분이 동행했는데 유독 <레이쥔:PER>만 빠졌다.
시진핑	시진핑	NNP	B-PER
(	(	SS	O
習近平	習近平	SH	B-PER
)	)	SS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
국가주석	국가주석	NNG	O
이	이	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
국빈	국빈	NNG	O
_	_	_	O
방문할	방문하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
,	,	SP	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
달	달	NNB	O
_	_	_	O
후	후	NNG	O
_	_	_	O
영국	영국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정보	정보	NNG	O
기술	기술	NNG	O
(	(	SS	O
IT	IT	SL	O
)	)	SS	O
_	_	_	O
업계	업계	NNG	O
_	_	_	O
총수	총수	NNG	O
_	_	_	O
대부분	대부분	NNG	O
이	이	JKS	O
_	_	_	O
동행	동행하	VV	O
했	었	EP	O
는데	는데	EC	O
_	_	_	O
유독	유독	MAG	O
_	_	_	O
레이쥔	레이쥔	NNG	B-PER
만	만	JX	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 일본=‘맥아더 라인이란 무엇인가.’
## <일본:ORG>=‘<맥아더:PER> 라인이란 무엇인가.’
일본	일본	NNP	B-ORG
=	=	SW	O
‘	‘	SS	O
맥아더	맥아더	NNP	B-PER
_	_	_	O
라인	라인	NNG	O
이란	이란	JX	O
_	_	_	O
무엇	무엇	NP	O
인가	이+ㄴ가	VCP+EF	O
.	.	SF	O
’	’	SS	O

## 7
## 이번 조사에서는 2015년 기준으로 한 달에 231원 이상 소비하지 않는 품목 위주로 제외됐다.
## 이번 조사에서는 <2015년:DAT> 기준으로 <한 달:DAT>에 <231원:MNY> 이상 소비하지 않는 품목 위주로 제외됐다.
이번	이번	NNG	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	B-DAT
_	_	_	I-DAT
달	달	NNB	I-DAT
에	에	JKB	O
_	_	_	O
231	231	SN	B-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
소비하	소비하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
품목	품목	NNG	O
_	_	_	O
위주	위주	NNG	O
로	로	JKB	O
_	_	_	O
제외	제외되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 나리시킨 하원의장은 히로시마 방문 때 1945년 원폭 투하 직후 주일본 소련대사관이 현지에서 촬영한 사진을 일본 측에 기증하는 방안을 검토하고 있다.
## <나리시킨:PER> 하원의장은 <히로시마:LOC> 방문 때 <1945년:DAT> 원폭 투하 직후 주일본 소련대사관이 현지에서 촬영한 사진을 <일본:ORG> 측에 기증하는 방안을 검토하고 있다.
나리	나리	NNG	B-PER
시킨	시키+ㄴ	XSV+ETM	I-PER
_	_	_	O
하원	하원	NNG	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
히로시마	히로시마	NNP	B-LOC
_	_	_	O
방문	방문	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
1945	1945	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
원폭	원폭	NNG	O
_	_	_	O
투하	투하	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
주	주	XPN	O
일본	일본	NNP	O
_	_	_	O
소련	소련	NNP	O
대사관	대사관	NNG	O
이	이	JKS	O
_	_	_	O
현지	현지	NNG	O
에서	에서	JKB	O
_	_	_	O
촬영한	촬영하+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
측	측	NNB	O
에	에	JKB	O
_	_	_	O
기증하	기증하	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
검토하	검토하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 구제역 바이러스는 76도 이상에서 7초간 가열하면 바이러스가 파괴되는 것으로 알려져 있다.
## 구제역 바이러스는 <76도:NOH> 이상에서 <7초간:DUR> 가열하면 바이러스가 파괴되는 것으로 알려져 있다.
구제역	구제역	NNG	O
_	_	_	O
바이러스	바이러스	NNG	O
는	는	JX	O
_	_	_	O
76	76	SN	B-NOH
도	도	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
에서	에서	JKB	O
_	_	_	O
7	7	SN	B-DUR
초	초	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
가열하	가열하	VV	O
면	면	EC	O
_	_	_	O
바이러스	바이러스	NNG	O
가	가	JKS	O
_	_	_	O
파괴되	파괴되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려져	알려지+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 2020년 상용화를 목표로 국제표준화단체인 3GPP와 국제전기통신연합(ITU)이 표준화 작업을 추진 중이다.
## <2020년:DAT> 상용화를 목표로 국제표준화단체인 <3GPP:ORG>와 <국제전기통신연합:ORG>(<ITU:ORG>)이 표준화 작업을 추진 중이다.
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
상용	상용	NNG	O
화	화	XSN	O
를	를	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
국제	국제	NNG	O
표준화	표준화	NNG	O
단체	단체	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
3	3	SN	B-ORG
GPP	GPP	SL	I-ORG
와	와	JC	O
_	_	_	O
국제	국제	NNG	B-ORG
전기	전기	NNG	I-ORG
통신	통신	NNG	I-ORG
연합	연합	NNG	I-ORG
(	(	SS	O
ITU	ITU	SL	B-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
표준화	표준화	NNG	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
추진	추진	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 배에 힘을 줘 중심을 잡고 30초~1분 정도 유지한다.
## 배에 힘을 줘 중심을 잡고 <30초~1분:DUR> 정도 유지한다.
배	배	NNG	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
을	을	JKO	O
_	_	_	O
줘	주+어	VV+EC	O
_	_	_	O
중심	중심	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
고	고	EC	O
_	_	_	O
30	30	SN	B-DUR
초	초	NNB	I-DUR
~	~	SO	I-DUR
1	1	SN	I-DUR
분	분	NNB	I-DUR
_	_	_	O
정도	정도	NNG	O
_	_	_	O
유지한다	유지하+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 이 감독은 “처음에는 몸에 힘이 많이 들어간 것 같아 걱정했었는데 공을 던지며 적응해 좋은 피칭을 보여줬다.
## <이:PER> 감독은 “처음에는 몸에 힘이 많이 들어간 것 같아 걱정했었는데 공을 던지며 적응해 좋은 피칭을 보여줬다.
이	이	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
처음	처음	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
몸	몸	NNG	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
이	이	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
들어간	들어가+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
아	아	EC	O
_	_	_	O
걱정	걱정하	VV	O
했었	였었	EP	O
는데	는데	EC	O
_	_	_	O
공	공	NNG	O
을	을	JKO	O
_	_	_	O
던지	던지	VV	O
며	며	EC	O
_	_	_	O
적응해	적응하+여	VV+EC	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
피칭	피칭	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어+주	EC+VX	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

