## 1
## 2014년에는 동거녀와의 결별로 이어진 프랑수아 올랑드 대통령의 열애 스캔들에 대해 “올랑드는 비열한 겁쟁이”라며 거침없이 독설을 퍼붓기도 했다.
## <2014년:DAT>에는 동거녀와의 결별로 이어진 <프랑수아 올랑드:PER> 대통령의 열애 스캔들에 대해 “<올랑드:PER>는 비열한 겁쟁이”라며 거침없이 독설을 퍼붓기도 했다.
2014	2014	SN	B-DAT
인	이+ㄴ	VCP+ETM	O
_	_	_	O
Common	Common	SL	O
_	_	_	O
Application	Application	SL	O
의	의	JKG	O
_	_	_	O
보완재	보완재	NNG	O
로서	로서	JKB	O
_	_	_	O
The	The	SL	O
_	_	_	O
Coalition	Coalition	SL	O
이	이	JKS	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
개인	개인	NNG	O
의	의	JKG	O
_	_	_	O
성적	성적	NNG	O
뿐	뿐	JX	O
만	만	JX	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
Digital	Digital	SL	O
_	_	_	O
Portfolio	Portfolio	SL	O
,	,	SP	O
_	_	_	O
즉	즉	MAG	O
_	_	_	O
동영상	동영상	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
개별	개별	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
,	,	SP	O
_	_	_	O
소논문	소논문	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
자유롭	자유롭	VA	O
게	게	EC	O
_	_	_	O
업로드	업로드	NNG	O
_	_	_	O
하	하	VV	O
여	여	EC	O
_	_	_	O
학생	학생	NNG	O
의	의	JKG	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
면	면	NNG	O
을	을	JKO	O
_	_	_	O
파악하	파악하	VV	O
여	여	EC	O
_	_	_	O
지원	지원	NNG	O
_	_	_	O
대학	대학	NNG	O
에	에	JKB	O
_	_	_	O
어울릴	어울리+ㄹ	VV+ETM	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
인재	인재	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 예컨대 추가합격 예비 2번은 붙고 3번은 떨어진 경우다.
## 예컨대 추가합격 예비 <2번:NOH>은 붙고 <3번:NOH>은 떨어진 경우다.
예컨대	예컨데	MAG	O
_	_	_	O
추가	추가	NNG	O
합격	합격	NNG	O
_	_	_	O
예비	예비	NNG	O
_	_	_	O
2	2	SN	B-NOH
번	번	NNB	I-NOH
은	은	JX	O
_	_	_	O
붙	붙	VV	O
고	고	EC	O
_	_	_	O
3	3	SN	B-NOH
번	번	NNB	I-NOH
은	은	JX	O
_	_	_	O
떨어진	떨어지+ㄴ	VV+ETM	O
_	_	_	O
경우	경우+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 오전 10시15분 현재 1869.33으로 1900선을 회복하긴커녕 낙폭(-2.53%)만 더 커졌다.
## <오전 10시15분:TIM> 현재 <1869.33:MNY>으로 <1900:MNY>선을 회복하긴커녕 낙폭(<-2.53%:PNT>)만 더 커졌다.
오전	오전	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
15	15	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
현재	현재	MAG	O
_	_	_	O
1869.33	1869.33	SN	B-MNY
으로	으로	JKB	O
_	_	_	O
1900	1900	SN	B-MNY
선	선	NNG	O
을	을	JKO	O
_	_	_	O
회복하	회복하	VV	O
긴커녕	기+ㄴ커녕	ETN+JX	O
_	_	_	O
낙폭	낙폭	NNG	O
(	(	SS	O
-	-	SO	B-PNT
2.53	2.53	SN	I-PNT
%	%	SW	I-PNT
)	)	SS	O
만	만	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 미래를 예측하고 준비할 수 있는 역량이 있어야 지속 성장을 할 수 있는데. 저희에겐 그게 절실히 필요했죠.”노하우4 신용과 의리를 지켜라이 대표와 김 이사는 만난 지 5년 만인 2014년 10월, 각자의 이니셜을 따 ‘LK’라는 개인회사를 차렸다.
## 미래를 예측하고 준비할 수 있는 역량이 있어야 지속 성장을 할 수 있는데. 저희에겐 그게 절실히 필요했죠.”노하우<4:NOH> 신용과 의리를 지켜라<이:PER> 대표와 <김:PER> 이사는 만난 지 <5년 만:NOH>인 <2014년 10월:DAT>, 각자의 이니셜을 따 ‘<LK:ORG>’라는 개인회사를 차렸다.
미래	미래	NNG	O
를	를	JKO	O
_	_	_	O
예측하	예측하	VV	O
고	고	EC	O
_	_	_	O
준비할	준비하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
역량	역량	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어야	어야	EC	O
_	_	_	O
지속	지속	NNG	O
_	_	_	O
성장	성장	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는데	는데	EF	O
.	.	SF	O
_	_	_	O
저희	저희	NP	O
에겐	에게+ㄴ	JKB+JX	O
_	_	_	O
그게	그것+이	NP+JKS	O
_	_	_	O
절실히	절실히	MAG	O
_	_	_	O
필요	필요하	VA	O
했	였	EP	O
죠	죠	EF	O
.	.	SF	O
”	”	SS	O
노하우	노하우	NNG	O
4	4	SN	B-NOH
_	_	_	O
신용	신용	NNG	O
과	과	JC	O
_	_	_	O
의리	의리	NNG	O
를	를	JKO	O
_	_	_	O
지켜라	지키+어라	VV+EC	O
이	이	JKS	B-PER
_	_	_	O
대표	대표	NNG	O
와	와	JC	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
이사	이사	NNG	O
는	는	JX	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
5	5	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
,	,	SP	O
_	_	_	O
각자	각자	NNG	O
의	의	JKG	O
_	_	_	O
이니셜	이니셜	NNG	O
을	을	JKO	O
_	_	_	O
따	따+아	VV+EC	O
_	_	_	O
‘	‘	SS	O
LK	LK	SL	B-ORG
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
개인	개인	NNG	O
회사	회사	NNG	O
를	를	JKO	O
_	_	_	O
차	차리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 현명관 마사회장 신년 인터뷰
## <현명관:PER> 마사회장 신년 인터뷰
현명관	현명관	NNP	B-PER
_	_	_	O
마사회	마사회	NNG	O
장	장	XSN	O
_	_	_	O
신년	신년	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O

## 9
## 4일 알펜시아를 운영 중인 강원도개발공사에 따르면 이곳에서 지난달 20일 프로축구 ‘K리그 챌린지(2부 리그)’ 30라운드 강원 FC와 부천 FC 경기가 열린데 이어 강원 FC가 7일 안산 FC, 24일 대구 FC, 28일 FC 안양을 불러들여 홈경기를 갖는다.
## <4일:DAT> <알펜시아:ORG>를 운영 중인 <강원도개발공사:ORG>에 따르면 이곳에서 지난달 <20일:DAT> 프로축구 ‘<K리그 챌린지(2부 리그):ORG>’ <30:NOH>라운드 <강원 FC:ORG>와 <부천 FC:ORG> 경기가 열린데 이어 <강원 FC:ORG>가 <7일:DAT> <안산 FC:ORG>, <24일:DAT> <대구 FC:ORG>, <28일:DAT> <FC 안양:ORG>을 불러들여 홈경기를 갖는다.
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
알펜시아	알펜시아	NNP	B-ORG
를	를	JKO	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
강원도	강원도	NNP	B-ORG
개발	개발	NNG	I-ORG
공사	공사	NNG	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이곳	이곳	NP	O
에서	에서	JKB	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
프로	프로	NNG	O
축구	축구	NNG	O
_	_	_	O
‘	‘	SS	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
_	_	_	I-ORG
챌린지	챌린지	NNG	I-ORG
(	(	SS	I-ORG
2	2	SN	I-ORG
부	부	NNB	I-ORG
_	_	_	I-ORG
리그	리그	NNG	I-ORG
)	)	SS	I-ORG
’	’	SS	O
_	_	_	O
30	30	SN	B-NOH
라운드	라운드	NNG	O
_	_	_	O
강원	강원	NNG	B-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
와	와	JC	O
_	_	_	O
부천	부천	NNP	B-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
_	_	_	O
경기	경기	NNG	O
가	가	JKS	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
데	데	NNB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
강원	강원	NNG	B-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
가	가	JKS	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
안산	안산	NNP	B-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
,	,	SP	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대구	대구	NNP	B-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
,	,	SP	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
FC	FC	SL	B-ORG
_	_	_	I-ORG
안양	안양	NNP	I-ORG
을	을	JKO	O
_	_	_	O
불러들	불러들이	VV	O
여	어	EC	O
_	_	_	O
홈경기	홈경기	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
는다	는다	EF	O
.	.	SF	O

## 10
## 시드니 시의 남부지역에서는 약1백채의 집이 파괴됐다.
## <시드니 시:LOC>의 남부지역에서는 약<1백채:NOH>의 집이 파괴됐다.
시드니	시드니	NNP	B-LOC
_	_	_	I-LOC
시	시	NNG	I-LOC
의	의	JKG	O
_	_	_	O
남부	남부	NNG	O
지역	지역	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
약	약	MM	O
1	1	SN	B-NOH
백채	백채	NNG	I-NOH
의	의	JKG	O
_	_	_	O
집	집	NNG	O
이	이	JKS	O
_	_	_	O
파괴	파괴되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 김연우는 “대학교 때 (장우람이) 보컬 1등이었다.
## <김연우:PER>는 “대학교 때 (<장우람:PER>이) 보컬 <1등:NOH>이었다.
김연우	김연우	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
대학교	대학교	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
(	(	SS	O
장	장	XPN	B-PER
우람이	우람이	NNP	O
)	)	SS	O
_	_	_	O
보컬	보컬	NNG	O
_	_	_	O
1	1	SN	B-NOH
등	등	NNB	I-NOH
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## ‘맨유 레전드’로 불리는 긱스는 맨유 소속으로 963경기에 출전해 168골을 넣었으며 리그 우승 13차례를 포함해 수많은 우승트로피를 들어 올린 바 있다.
## ‘<맨유:ORG> 레전드’로 불리는 <긱스:PER>는 <맨유:ORG> 소속으로 <963경기:NOH>에 출전해 <168골:NOH>을 넣었으며 리그 우승 <13차례:NOH>를 포함해 수많은 우승트로피를 들어 올린 바 있다.
‘	‘	SS	O
맨유	맨유	NNP	B-ORG
_	_	_	O
레전드	레전드	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
불리	불리	VV	O
는	는	ETM	O
_	_	_	O
긱스	긱스	NNP	B-PER
는	는	JX	O
_	_	_	O
맨유	맨유	NNP	B-ORG
_	_	_	O
소속	소속	NNG	O
으로	으로	JKB	O
_	_	_	O
963	963	SN	B-NOH
경기	경기	NNG	I-NOH
에	에	JKB	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
168	168	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
었	었	EP	O
으며	으며	EC	O
_	_	_	O
리그	리그	NNG	O
_	_	_	O
우승	우승	NNG	O
_	_	_	O
13	13	SN	B-NOH
차례	차례	NNG	I-NOH
를	를	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
수많	수많	VA	O
은	은	ETM	O
_	_	_	O
우승	우승	NNG	O
트로피	트로피	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 1995년 오리지널 시리즈를 완결한 지 20년 만이다.
## <1995년:DAT> 오리지널 시리즈를 완결한 지 <20년 만:NOH>이다.
1995	1995	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
오리지널	오리지널	NNG	O
_	_	_	O
시리즈	시리즈	NNG	O
를	를	JKO	O
_	_	_	O
완결한	완결하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
20	20	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 제이미 커플은 새끼고양이를 돌보면서, ‘밀로’라고 이름을 지어줬다.
## <제이미:PER> 커플은 새끼고양이를 돌보면서, ‘<밀로:PER>’라고 이름을 지어줬다.
제이미	제이미	NNP	B-PER
_	_	_	O
커플	커플	NNG	O
은	은	JX	O
_	_	_	O
새끼	새끼	NNG	O
고양이	고양이	NNG	O
를	를	JKO	O
_	_	_	O
돌보	돌보	VV	O
면서	면서	EC	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
밀	밀	NNG	B-PER
로	로	JKB	I-PER
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
지	짓	VV	O
어	어+주	EC+VX	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

