## 1
## 다섯 살 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.
## <다섯 살:NOH> 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.
다섯	다섯	NR	B-NOH
백종원	백종원	NNP	B-PER
이	이	JKS	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
예고	예고	NNG	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
와	와	JKB	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
갈비찜	갈비찜	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 22일 방송된 tvN ‘집방 백선생’에서는 명절을 맞아 갈비찜 레시피가 공개됐다.
## <22일:DAT> 방송된 <tvN:ORG> ‘<집방 백선생:POH>’에서는 명절을 맞아 갈비찜 레시피가 공개됐다.
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
tvN	tvN	SL	B-ORG
_	_	_	O
‘	‘	SS	O
집	집	NNG	B-POH
방	방	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
명절	명절	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
갈비찜	갈비찜	NNG	O
_	_	_	O
레시피	레시피	NNG	O
가	가	JKS	O
_	_	_	O
공개	공개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 이날 백종원은 갈비찜 레시피를 공개하며 “갈비찜은 오래 끓이고 싶은데 오래 끓이지 못 한다”고 말했다.
## 이날 <백종원:PER>은 갈비찜 레시피를 공개하며 “갈비찜은 오래 끓이고 싶은데 오래 끓이지 못 한다”고 말했다.
이날	이날	NNG	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
갈비찜	갈비찜	NNG	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
갈비찜	갈비찜	NNG	O
은	은	JX	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
끓이	끓이	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은데	은데	EC	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
끓이	끓이	VV	O
지	지	EC	O
_	_	_	O
못	못	MAG	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이유를 설명하는 백종원은 “갈비찜에 들어가는 당근, 밤 같은 재료들이 확 물러지기 때문이다”이라고 설명했다.
## 이유를 설명하는 <백종원:PER>은 “갈비찜에 들어가는 당근, 밤 같은 재료들이 확 물러지기 때문이다”이라고 설명했다.
이유	이유	NNG	O
를	를	JKO	O
_	_	_	O
설명하	설명하	VV	O
는	는	ETM	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
갈비찜	갈비찜	NNG	O
에	에	JKB	O
_	_	_	O
들어가	들어가	VV	O
는	는	ETM	O
_	_	_	O
당근	당근	NNG	O
,	,	SP	O
_	_	_	O
밤	밤	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
재료	재료	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
확	확	MAG	O
_	_	_	O
물러지	물러지	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 하지만 백종원은 “왜 같이 하냐. 늦게 넣으면 된다”며 쉽지만 평상시 하지 못했던 팁을 전수했다.
## 하지만 <백종원:PER>은 “왜 같이 하냐. 늦게 넣으면 된다”며 쉽지만 평상시 하지 못했던 팁을 전수했다.
하지만	하지만	MAJ	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
왜	왜	MAG	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
하	하	VV	O
냐	냐	EF	O
.	.	SF	O
_	_	_	O
늦	늦	VA	O
게	게	EC	O
_	_	_	O
넣	넣	VV	O
으면	으면	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
쉽	쉽	VA	O
지만	지만	EC	O
_	_	_	O
평상시	평상시	NNG	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
팁	팁	NNG	O
을	을	JKO	O
_	_	_	O
전수	전수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이날 방송에 함께한 윤상은 매운 갈비찜 레시피를 요청했고, 백종원은 갈비탕 속 갈비와 갈비탕 육수 두 국자에 파, 간 마늘 한 숟갈, 굵은 고춧가루 세 숟갈, 고기용 만능소스 한 컵 반이라고 말하며 레시피를 공개 했다.
## 이날 방송에 함께한 <윤상:PER>은 매운 갈비찜 레시피를 요청했고, <백종원:PER>은 갈비탕 속 갈비와 갈비탕 육수 <두 국자:NOH>에 파, 간 마늘 <한 숟갈:NOH>, 굵은 고춧가루 <세 숟갈:NOH>, 고기용 만능소스 <한 컵 반:NOH>이라고 말하며 레시피를 공개 했다.
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에	에	JKB	O
_	_	_	O
함께한	함께하+ㄴ	VV+ETM	O
_	_	_	O
윤상은	윤상은	NNP	O
_	_	_	O
매	맵	VA	O
운	ㄴ	ETM	O
_	_	_	O
갈비찜	갈비찜	NNG	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
요청	요청하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
갈비탕	갈비탕	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
갈비	갈비	NNG	O
와	와	JC	O
_	_	_	O
갈비탕	갈비탕	NNG	O
_	_	_	O
육수	육수	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
국자	국자	NNG	I-NOH
에	에	JKB	O
_	_	_	O
파	파	NNG	O
,	,	SP	O
_	_	_	O
간	간	NNB	O
_	_	_	O
마늘	마늘	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
숟갈	숟갈	NNG	I-NOH
,	,	SP	O
_	_	_	O
굵	굵	VA	O
은	은	ETM	O
_	_	_	O
고춧가루	고춧가루	NNG	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
숟갈	숟갈	NNG	I-NOH
,	,	SP	O
_	_	_	O
고기	고기	NNG	O
용	용	NNG	O
_	_	_	O
만능	만능	NNG	O
소스	소스	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
_	_	_	I-NOH
반	반	NNG	I-NOH
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
말하	말하	VV	O
며	며	EC	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 밴 헤켄은 이날 포함 최근 3시즌 동안 두산을 상대로 7승1패, 방어율 2.85의 ‘킬러 본능’을 자랑했다.
## <밴 헤켄:PER>은 이날 포함 최근 <3시즌:NOH> 동안 <두산:ORG>을 상대로 <7승:NOH><1패:NOH>, 방어율 <2.85:PNT>의 ‘킬러 본능’을 자랑했다.
밴	배+ㄴ	VV+ETM	B-PER
_	_	_	I-PER
헤켄	헤켄	NNG	I-PER
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
포함	포함	NNG	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
3	3	SN	B-NOH
시즌	시즌	NNG	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
두산	두산	NNP	B-ORG
을	을	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
7	7	SN	B-NOH
승	승	NNB	I-NOH
1	1	SN	B-NOH
패	패	NNB	I-NOH
,	,	SP	O
_	_	_	O
방어율	방어율	NNG	O
_	_	_	O
2.85	2.85	SN	B-PNT
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
킬러	킬러	NNG	O
_	_	_	O
본능	본능	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
자랑	자랑하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 전통시장 경기동향 지수는 지난해 9월 79.5에서 12월 62.3으로 하락했다.
## 전통시장 경기동향 지수는 지난해 <9월:DAT> <79.5:NOH>에서 <12월:DAT> <62.3:NOH>으로 하락했다.
전통	전통	NNG	O
시장	시장	NNG	O
_	_	_	O
경기	경기	NNG	O
동향	동향	NNG	O
_	_	_	O
지수	지수	NNG	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
79.5	79.5	SN	B-NOH
에서	에서	JKB	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
62.3	62.3	SN	B-NOH
으로	으로	JKB	O
_	_	_	O
하락	하락하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 김 정책위의장은 “현재의 농지를 그대로 유지한 채 계속 쌀을 생산하는 것은 농민들에게도 유리하지 않다.
## <김:PER> 정책위의장은 “현재의 농지를 그대로 유지한 채 계속 쌀을 생산하는 것은 농민들에게도 유리하지 않다.
김	김	NNP	B-PER
_	_	_	O
정책	정책	NNG	O
위	위	NNG	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
현재	현재	NNG	O
의	의	JKG	O
_	_	_	O
농지	농지	NNG	O
를	를	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
유지한	유지하+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
쌀	쌀	NNG	O
을	을	JKO	O
_	_	_	O
생산하	생산하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
농민	농민	NNG	O
들	들	XSN	O
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
유리하	유리하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 15
## 왕징을 비롯한 베이징 전역에서 떡볶이, 닭강정, 호떡, 어묵, 튀김, 순대 등을 맛보기가 그다지 어렵지 않다.
## <왕징:LOC>을 비롯한 <베이징:LOC> 전역에서 떡볶이, 닭강정, 호떡, 어묵, 튀김, 순대 등을 맛보기가 그다지 어렵지 않다.
왕징	왕징	NNP	B-LOC
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
베이징	베이징	NNP	B-LOC
_	_	_	O
전역	전역	NNG	O
에서	에서	JKB	O
_	_	_	O
떡볶이	떡볶이	NNG	O
,	,	SP	O
_	_	_	O
닭	닭	NNG	O
강정	강정	NNG	O
,	,	SP	O
_	_	_	O
호떡	호떡	NNG	O
,	,	SP	O
_	_	_	O
어묵	어묵	NNG	O
,	,	SP	O
_	_	_	O
튀김	튀김	NNG	O
,	,	SP	O
_	_	_	O
순대	순대	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
맛보	맛보	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
그다지	그다지	MAG	O
_	_	_	O
어렵	어렵	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

