## 1
## 이후 오후 7시30분 롯데월드몰 1층 아트리움에서 진행되는 레드카펫 행사에 참석해 한국 팬들과 만날 예정이다.
## 이후 <오후 7시30분:TIM> <롯데월드몰:LOC> 1층 아트리움에서 진행되는 레드카펫 행사에 참석해 <한국:ORG> 팬들과 만날 예정이다.
이후	이후	NNG	O
지낸	지내+ㄴ	VV+ETM	O
_	_	_	O
문	문	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
최	최	XPN	O
측근	측근	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 노영민 의원은 전날 당무감사원에 직접 자신에 대한 감사를 요청했으며, 당무감사원은 2일 노 위원장에 대한 사실 확인 조사에 착수했다.
## <노영민:PER> 의원은 전날 당무감사원에 직접 자신에 대한 감사를 요청했으며, <당무감사원:ORG>은 <2일:DAT> <노:PER> 위원장에 대한 사실 확인 조사에 착수했다.
노영민	노영민	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
당무	당무	NNG	O
감사원	감사원	NNG	O
에	에	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
자신	자신	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
감사	감사	NNG	O
를	를	JKO	O
_	_	_	O
요청	요청하	VV	O
했	였	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
당무	당무	NNG	B-ORG
감사원	감사원	NNG	I-ORG
은	은	JX	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
노	노	XPN	B-PER
_	_	_	O
위원장	위원장	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
사실	사실	NNG	O
_	_	_	O
확인	확인	NNG	O
_	_	_	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
착수	착수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

