## 1
## 가쓰야(岡田克也) 민진당 대표는 연설에서 안보법을 정면으로 비판하고 여당이 개헌 발의 정족수인 3분의 2 이상을 확보하지 못하도록 해달라고 호소했다.
## <가쓰야:PER>(<岡田克也:PER>) <민진당:ORG> 대표는 연설에서 안보법을 정면으로 비판하고 여당이 개헌 발의 정족수인 <3분의 2:PNT> 이상을 확보하지 못하도록 해달라고 호소했다.
가쓰	가쓰	NNP	B-PER
## 이에 따라 농진청과 이천시는 상품성이 더 있는 품종을 내놓기 위해 내년에 다시 개발 작업을 진행하기로 결정했다.
## 이에 따라 <농진청:ORG>과 <이천시:ORG>는 상품성이 더 있는 품종을 내놓기 위해 내년에 다시 개발 작업을 진행하기로 결정했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
농진청	농진청	NNP	B-ORG
과	과	JC	O
_	_	_	O
이천시	이천시	NNP	B-ORG
는	는	JX	O
_	_	_	O
상품성	상품성	NNG	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
품종	품종	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
내년	내년	NNG	O
에	에	JKB	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
진행하	진행하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이장우 의원의 발언에 야당이 반발하면서 회의는 또 한번 파행을 겪은 후 오후 9시경 속개됐다.
## <이장우:PER> 의원의 발언에 야당이 반발하면서 회의는 또 <한번:NOH> 파행을 겪은 후 <오후 9시:TIM>경 속개됐다.
이장우	이장우	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
야당	야당	NNG	O
이	이	JKS	O
_	_	_	O
반발하	반발하	VV	O
면서	면서	EC	O
_	_	_	O
회의	회의	NNG	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	B-NOH
번	번	NNB	I-NOH
_	_	_	O
파행	파행	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
은	은	ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
9	9	SN	I-TIM
시	시	NNB	I-TIM
경	경	XSN	O
_	_	_	O
속개	속개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 박 사장은 특히 서강대 외교학과를 나와 서강대 출신 금융인 모임인 ‘서금회’의 초대 회장을 맡은 바 있다.
## <박:PER> 사장은 특히 <서강대 외교학과:ORG>를 나와 <서강대:ORG> 출신 금융인 모임인 ‘<서금회:ORG>’의 초대 회장을 맡은 바 있다.
박	박	NNP	B-PER
_	_	_	O
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
서강대	서강대	NNP	B-ORG
_	_	_	I-ORG
외교	외교	NNG	I-ORG
학과	학과	NNG	I-ORG
를	를	JKO	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
서강대	서강대	NNP	B-ORG
_	_	_	O
출신	출신	NNG	O
_	_	_	O
금융인	금융인	NNG	O
_	_	_	O
모임	모임	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
서금	서금	NNG	B-ORG
회	회	XSN	I-ORG
’	’	SS	O
의	의	JKG	O
_	_	_	O
초대	초대	NNG	O
_	_	_	O
회장	회장	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 나는 그 전날 밤 박 대통령과 미리 상의를 하면서 존슨 대통령에게 미국 이민을 대폭 허용해줄 것을 요구해야 한다고 말씀드렸다.
## 나는 그 전날 밤 <박:PER> 대통령과 미리 상의를 하면서 <존슨:PER> 대통령에게 <미국:LOC> 이민을 대폭 허용해줄 것을 요구해야 한다고 말씀드렸다.
나	나	NP	O
는	는	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
밤	밤	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
과	과	JKB	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
상의	상의	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
존슨	존슨	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
이민	이민	NNG	O
을	을	JKO	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
허용해	허용하+여	VV+EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
요구해야	요구하+여야	VV+EC	O
_	_	_	O
한다고	하+ㄴ다고	VX+EC	O
_	_	_	O
말씀	말씀	NNG	O
드	드리	XSV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## “지아 음원 공개, 노래 들으러 가야지”, “지아 음원 공개, 가사가 너무 아름답네요” 등의 반응을 보였다.
## “<지아:PER> 음원 공개, 노래 들으러 가야지”, “<지아:PER> 음원 공개, 가사가 너무 아름답네요” 등의 반응을 보였다.
“	“	SS	O
지아	지아	NNP	B-PER
_	_	_	O
음원	음원	NNG	O
_	_	_	O
공개	공개	NNG	O
,	,	SP	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
들	듣	VV	O
으러	으러	EC	O
_	_	_	O
가야지	가+아야지	VV+EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
지아	지아	NNP	B-PER
_	_	_	O
음원	음원	NNG	O
_	_	_	O
공개	공개	NNG	O
,	,	SP	O
_	_	_	O
가사	가사	NNG	O
가	가	JKS	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
아름답	아름답	VA	O
네요	네요	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## ‘프로듀스101’ 순위 1위 김세정, 졸업사진 눈길…학창시절부터 남다른 미모‘프로듀스 101’ 순위에서 1위를 차지한 김세정의 학창시절 졸업사진이 끌고 있다.
## ‘<프로듀스101:POH>’ 순위 <1위:NOH> <김세정:PER>, 졸업사진 눈길…학창시절부터 남다른 미모‘<프로듀스 101:POH>’ 순위에서 <1위:NOH>를 차지한 <김세정:PER>의 학창시절 졸업사진이 끌고 있다.
‘	‘	SS	O
프로듀스	프로듀스	NNG	B-POH
101	101	SN	I-POH
’	’	SS	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
김세정	김세정	NNP	B-PER
,	,	SP	O
_	_	_	O
졸업	졸업	NNG	O
사진	사진	NNG	O
_	_	_	O
눈길	눈길	NNG	O
…	…	SE	O
학창	학창	NNG	O
시절	시절	NNG	O
부터	부터	JX	O
_	_	_	O
남다른	남다르+ㄴ	VA+ETM	O
_	_	_	O
미모	미모	NNG	O
‘	‘	SS	O
프로듀스	프로듀스	NNG	B-POH
_	_	_	I-POH
101	101	SN	I-POH
’	’	SS	O
_	_	_	O
순위	순위	NNG	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지한	차지하+ㄴ	VV+ETM	O
_	_	_	O
김세정	김세정	NNP	B-PER
의	의	JKG	O
_	_	_	O
학창	학창	NNG	O
시절	시절	NNG	O
_	_	_	O
졸업	졸업	NNG	O
사진	사진	NNG	O
이	이	JKS	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 21세기에서 복수는 낯설지 모르지만 의로움은 아직도 유효하고, 그 점이 관객들의 마음을 사로잡았다고 하면 대박도 이해가 간다.
## <21세기:DUR>에서 복수는 낯설지 모르지만 의로움은 아직도 유효하고, 그 점이 관객들의 마음을 사로잡았다고 하면 대박도 이해가 간다.
21	21	SN	B-DUR
세기	세기	NNG	I-DUR
에서	에서	JKB	O
_	_	_	O
복수	복수	NNG	O
는	는	JX	O
_	_	_	O
낯설지	낯설+ㄹ지	VA+EC	O
_	_	_	O
모르	모르	VV	O
지만	지만	EC	O
_	_	_	O
의로움	의롭+ㅁ	VA+ETN	O
은	은	JX	O
_	_	_	O
아직	아직	MAG	O
도	도	JX	O
_	_	_	O
유효하	유효하	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
관객	관객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
았	았	EP	O
다고	다고	EC	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
대박	대박	NNP	O
도	도	JX	O
_	_	_	O
이해	이해	NNG	O
가	가	JKS	O
_	_	_	O
간다	가+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 한편 유 의원은 경선룰을 둘러싸고 당내 또 다른 대선주자인 남경필 경기지사 측이 ‘경선 보이콧’을 시사하며 이의를 제기한 데 대해 “경선룰은 당이 정하는 대로, 당에 맡길 것”이라고 짧게 말했다.
## 한편 <유:PER> 의원은 경선룰을 둘러싸고 당내 또 다른 대선주자인 <남경필:PER> 경기지사 측이 ‘경선 보이콧’을 시사하며 이의를 제기한 데 대해 “경선룰은 당이 정하는 대로, 당에 맡길 것”이라고 짧게 말했다.
한편	한편	MAG	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
경선	경선	NNG	O
룰	룰	NNG	O
을	을	JKO	O
_	_	_	O
둘러싸	둘러싸	VV	O
고	고	EC	O
_	_	_	O
당내	당내	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
대선	대선	NNG	O
주자	주자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
남경필	남경필	NNP	B-PER
_	_	_	O
경기	경기	NNP	O
지사	지사	NNG	O
_	_	_	O
측	측	NNB	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
경선	경선	NNG	O
_	_	_	O
보이콧	보이콧	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
시사하	시사하	VV	O
며	며	EC	O
_	_	_	O
이의	이의	NNG	O
를	를	JKO	O
_	_	_	O
제기한	제기하+ㄴ	VV+ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
경선	경선	NNG	O
룰	룰	NNG	O
은	은	JX	O
_	_	_	O
당	당	NNG	O
이	이	JKS	O
_	_	_	O
정하	정하	VV	O
는	는	ETM	O
_	_	_	O
대로	대로	NNB	O
,	,	SP	O
_	_	_	O
당	당	NNG	O
에	에	JKB	O
_	_	_	O
맡길	맡기+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
짧	짧	VA	O
게	게	EC	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

