## 1
## 유 이병도 지난달 특전사에 배치되면서 가족 동반 강하 훈련에 참가하기로 결정했다.
## <유:PER> 이병도 지난달 특전사에 배치되면서 가족 동반 강하 훈련에 참가하기로 결정했다.
유	유	NNP	B-PER
트렌디	트렌디	NNG	O
하	하	XSV	O
게	게	EC	O
_	_	_	O
표현하	표현하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
마찰력	마찰력	NNG	O
이	이	JKS	O
_	_	_	O
강해	강하+여	VA+EC	O
_	_	_	O
미끄럼	미끄럼	NNG	O
_	_	_	O
방지	방지	NNG	O
_	_	_	O
효과	효과	NNG	O
까지	까지	JX	O
_	_	_	O
뛰어나	뛰어나	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 블랙과 멀티 색상 두 가지로 선보이는 라이팅 클리퍼 슈즈는 스타일리시하면서도 매니시한 느낌을 주며, 내추럴한 캐주얼부터 시크한 놈코어 룩까지 다양한 스타일링이 가능하다.
## 블랙과 멀티 색상 <두 가지:NOH>로 선보이는 <라이팅 클리퍼 슈즈:POH>는 스타일리시하면서도 매니시한 느낌을 주며, 내추럴한 캐주얼부터 시크한 놈코어 룩까지 다양한 스타일링이 가능하다.
블랙	블랙	NNG	O
과	과	JC	O
_	_	_	O
멀티	멀티	NNG	O
_	_	_	O
색상	색상	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
로	로	JKB	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
라이팅	라이팅	NNG	B-POH
_	_	_	I-POH
클리퍼	클리퍼	NNG	I-POH
_	_	_	I-POH
슈즈	슈즈	NNG	I-POH
는	는	JX	O
_	_	_	O
스타	스타	NNG	O
일리	일리	NNG	O
시	시	XSN	O
하	하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
매니시	매니시	NNG	O
한	한	NNP	O
_	_	_	O
느낌	느낌	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
내추럴한	내추럴하+ㄴ	VA+ETM	O
_	_	_	O
캐주얼	캐주얼	NNG	O
부터	부터	JX	O
_	_	_	O
시크	시크	NNG	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
놈	놈	NNB	O
코어	코어	NNG	O
_	_	_	O
룩	룩	NNG	O
까지	까지	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
스타일링	스타일링	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 스타일리시함과 겨울철 실용성까지 갖춘 오즈세컨(O’2nd)의 '라이팅 클리퍼 슈즈(Lighting Clipper Shoes)'는 전국 오즈세컨 매장과 SK패션몰(www.skfashionmall.com) 에서 만나볼 수 있다.
## 스타일리시함과 겨울철 실용성까지 갖춘 <오즈세컨:ORG>(<O’2nd:ORG>)의 '<라이팅 클리퍼 슈즈:POH>(<Lighting Clipper Shoes:POH>)'는 전국 <오즈세컨:ORG> 매장과 <SK패션몰:ORG>(<www.skfashionmall.com:POH>) 에서 만나볼 수 있다.
스타	스타	NNG	O
일리	일리	NNG	O
시	시	XSN	O
함	함	NNG	O
과	과	JC	O
_	_	_	O
겨울철	겨울철	NNG	O
_	_	_	O
실용성	실용성	NNG	O
까지	까지	JX	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
오즈	오즈	NNP	B-ORG
세컨	세컨	NNG	I-ORG
(	(	SS	O
O	O	SL	B-ORG
’	’	SS	I-ORG
2	2	SN	I-ORG
nd	nd	SL	I-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
'	'	SS	O
라이팅	라이팅	NNG	B-POH
_	_	_	I-POH
클리퍼	클리퍼	NNG	I-POH
_	_	_	I-POH
슈즈	슈즈	NNG	I-POH
(	(	SS	O
Lighting	Lighting	SL	B-POH
_	_	_	I-POH
Clipper	Clipper	SL	I-POH
_	_	_	I-POH
Shoes	Shoes	SL	I-POH
)	)	SS	O
'	'	SS	O
는	는	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
오즈	오즈	NNP	B-ORG
세컨	세컨	NNG	I-ORG
_	_	_	O
매장	매장	NNG	O
과	과	JC	O
_	_	_	O
SK	SK	SL	B-ORG
패션몰	패션몰	NNG	I-ORG
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
skfashionmall	skfashionmall	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
)	)	SS	O
_	_	_	O
에서	에서	JKB	O
_	_	_	O
만나	만나+아	VV+EC	O
볼	보+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## ‘생계가 나를 부산스럽게 만들지라도/그래서 슬퍼하거나 노하더라도/호시탐탐/석양에 신경 좀 쓰고 살으리랏다’(‘황색시간’에서) 알렉산드르 푸시킨의 ‘삶이 그대를 속일지라도’와 고려가요 ‘청산별곡’을 버무린 ‘황색시간’에서 시인은 생활에 부대끼는 현대인들이 잠시 그 자리에 멈춰 서도록 한다.
## ‘생계가 나를 부산스럽게 만들지라도/그래서 슬퍼하거나 노하더라도/호시탐탐/석양에 신경 좀 쓰고 살으리랏다’(‘<황색시간:POH>’에서) <알렉산드르 푸시킨:PER>의 ‘<삶이 그대를 속일지라도:POH>’와 <고려:ORG>가요 ‘<청산별곡:POH>’을 버무린 ‘<황색시간:POH>’에서 시인은 생활에 부대끼는 현대인들이 잠시 그 자리에 멈춰 서도록 한다.
‘	‘	SS	O
생계	생계	NNG	O
가	가	JKS	O
_	_	_	O
나	나	NP	O
를	를	JKO	O
_	_	_	O
부산스럽	부산스럽	VA	O
게	게	EC	O
_	_	_	O
만들지라도	만들+ㄹ지라도	VV+EC	O
/	/	SP	O
그래서	그래서	MAJ	O
_	_	_	O
슬퍼하	슬퍼하	VV	O
거나	거나	EC	O
_	_	_	O
노	노	XPN	O
하	하	XSV	O
더라도	더라도	EC	O
/	/	SP	O
호시탐탐	호시탐탐	NNG	O
/	/	SP	O
석양	석양	NNG	O
에	에	JKB	O
_	_	_	O
신경	신경	NNG	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
쓰	쓰	VV	O
고	고	EC	O
_	_	_	O
살	살	VV	O
으리	으리	EC	O
랏	랏	NNP	O
다	다	NNG	O
’	’	SS	O
(	(	SS	O
‘	‘	SS	O
황색	황색	NNG	B-POH
시간	시간	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
)	)	SS	O
_	_	_	O
알렉산드르	알렉산드르	NNP	B-PER
_	_	_	I-PER
푸시킨	푸시킨	NNP	I-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
삶	삶	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
그대	그대	NP	I-POH
를	를	JKO	I-POH
_	_	_	I-POH
속일지라도	속이+ㄹ지라도	VV+EF	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
고려	고려	NNP	B-ORG
가요	가요	NNG	O
_	_	_	O
‘	‘	SS	O
청산별곡	청산별곡	NNP	B-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
버무린	버무리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
황색	황색	NNG	B-POH
시간	시간	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
시인	시인	NNG	O
은	은	JX	O
_	_	_	O
생활	생활	NNG	O
에	에	JKB	O
_	_	_	O
부대끼	부대끼	VV	O
는	는	ETM	O
_	_	_	O
현대인	현대인	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
잠시	잠시	MAG	O
_	_	_	O
그	그	MM	O
_	_	_	O
자리	자리	NNG	O
에	에	JKB	O
_	_	_	O
멈춰	멈추+어	VV+EC	O
_	_	_	O
서	서	VV	O
도록	도록	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 6
## 이 세 가지 기준 중 하나에 해당되면 분양가상한제 적용 대상이 될 수 있다.
## 이 <세 가지:NOH> 기준 중 <하나:NOH>에 해당되면 분양가상한제 적용 대상이 될 수 있다.
이	이	MM	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
_	_	_	O
기준	기준	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NR	B-NOH
에	에	JKB	O
_	_	_	O
해당되	해당되	VV	O
면	면	EC	O
_	_	_	O
분양가	분양가	NNG	O
상한	상한	NNG	O
제	제	XPN	O
_	_	_	O
적용	적용	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 일주일 내내”라고 말해 김민정을 깜짝 놀라게 했다.
## <일주일:DUR> 내내”라고 말해 <김민정:PER>을 깜짝 놀라게 했다.
일주일	일주일	NNG	B-DUR
_	_	_	O
내내	내내	MAG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
김민정	김민정	NNP	B-PER
을	을	JKO	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀라	놀라	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 오차 범위(±3%포인트) 내에 있지만 이 기관의 조사에서 트럼프가 클린턴을 이긴 건 처음이다.
## 오차 범위(±<3%포인트:PNT>) 내에 있지만 이 기관의 조사에서 <트럼프가 클린턴:PER>을 이긴 건 처음이다.
오차	오차	NNG	O
_	_	_	O
범위	범위	NNG	O
(	(	SS	O
±	±	SW	O
3	3	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	I-PNT
)	)	SS	O
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
기관	기관	NNG	O
의	의	JKG	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
가	가	JKS	I-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
을	을	JKO	O
_	_	_	O
이긴	이기+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 소박함이 묻어나는 작은 뚝배기 한 그릇이지만, 그 안에 큰 정성과 사랑을 담아내 맛있는 추어탕을 선보여 왔다.
## 소박함이 묻어나는 작은 뚝배기 <한 그릇:NOH>이지만, 그 안에 큰 정성과 사랑을 담아내 맛있는 추어탕을 선보여 왔다.
소박함	소박하+ㅁ	VA+ETN	O
이	이	JKS	O
_	_	_	O
묻어나	묻어나	VV	O
는	는	ETM	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
뚝배기	뚝배기	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
그릇	그릇	NNG	I-NOH
이	이	VCP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
정성	정성	NNG	O
과	과	JC	O
_	_	_	O
사랑	사랑	NNG	O
을	을	JKO	O
_	_	_	O
담아내	담아내+어	VV+EC	O
_	_	_	O
맛있	맛있	VA	O
는	는	ETM	O
_	_	_	O
추어탕	추어탕	NNG	O
을	을	JKO	O
_	_	_	O
선보	선보이	VV	O
여	어	EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

