## 1
## 일곱 번째 초우더리는 영국에서 옥살이를 한다.
## <일곱 번째:NOH> <초우더리:PER>는 <영국:ORG>에서 옥살이를 한다.
일곱	일곱	NR	B-NOH
승인할	승인하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
2021	2021	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
준공	준공	NNG	O
이	이	JKS	O
_	_	_	O
목표	목표	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 또 물도 한 모금 마시지 못하게 해 여간 신경이 쓰이는 것이 아니다.
## 또 물도 <한 모금:NOH> 마시지 못하게 해 여간 신경이 쓰이는 것이 아니다.
또	또	MAG	O
_	_	_	O
물	물	NNG	O
도	도	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
모금	모금	NNB	I-NOH
_	_	_	O
마시	마시	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
게	게	EC	O
_	_	_	O
해	하+여	VX+EC	O
_	_	_	O
여간	여간	MAG	O
_	_	_	O
신경	신경	NNG	O
이	이	JKS	O
_	_	_	O
쓰이	쓰이	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 7
## 박근혜 대통령은 26일 “이란 방문(5월 1∼3일)을 마치고 돌아와 빠른 시일 내에 3당 대표를 만나도록 하겠다”며 “3당 대표와 만나는 것을 정례화하는 방안도 긍정적으로 검토하겠다”고 말했다.
## <박근혜:PER> 대통령은 <26일:DAT> “<이란:LOC> 방문(<5월:DAT> <1∼3일:DUR>)을 마치고 돌아와 빠른 시일 내에 <3당:NOH> 대표를 만나도록 하겠다”며 “<3당:NOH> 대표와 만나는 것을 정례화하는 방안도 긍정적으로 검토하겠다”고 말했다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
이	이	VCP	B-LOC
란	란	ETM	I-LOC
_	_	_	O
방문	방문	NNG	O
(	(	SS	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
1	1	SN	B-DUR
∼	∼	SO	I-DUR
3	3	SN	I-DUR
일	일	NNB	I-DUR
)	)	SS	O
을	을	JKO	O
_	_	_	O
마치	마치	VV	O
고	고	EC	O
_	_	_	O
돌아	돌아오	VV	O
와	아	EC	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
시일	시일	NNG	O
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
3	3	SN	B-NOH
당	당	NNG	I-NOH
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
만나	만나	VV	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
3	3	SN	B-NOH
당	당	NNG	I-NOH
_	_	_	O
대표	대표	NNG	O
와	와	JKB	O
_	_	_	O
만나	만나	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
정례	정례	NNG	O
화	화	XSN	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
도	도	JX	O
_	_	_	O
긍정적	긍정적	NNG	O
으로	으로	JKB	O
_	_	_	O
검토하	검토하	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 트로트가수 박현빈(33)이 백년가약을 맺는다.
## 트로트가수 <박현빈:PER>(<33:NOH>)이 백년가약을 맺는다.
트로트	트로트	NNG	O
가수	가수	NNG	O
_	_	_	O
박현빈	박현빈	NNP	B-PER
(	(	SS	O
33	33	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
백년가약	백년가약	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
는다	는다	EF	O
.	.	SF	O

## 9
## 영국 컬텍 연구팀이 개발한 이 제품은 위산과 담즙산에 영향을 받지 않아 장까지 살아서 가도록 설계됐다.
## <영국:ORG> <컬텍 연구팀:ORG>이 개발한 이 제품은 위산과 담즙산에 영향을 받지 않아 장까지 살아서 가도록 설계됐다.
영국	영국	NNP	B-ORG
_	_	_	O
컬텍	컬텍	NNP	B-ORG
_	_	_	I-ORG
연구	연구	NNG	I-ORG
팀	팀	NNG	I-ORG
이	이	JKS	O
_	_	_	O
개발한	개발하+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
위산	위산	NNG	O
과	과	JC	O
_	_	_	O
담즙산	담즙산	NNG	O
에	에	JKB	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
장	장	NNG	O
까지	까지	JX	O
_	_	_	O
살	살	VV	O
아서	아서	EC	O
_	_	_	O
가	가	VV	O
도록	도록	EC	O
_	_	_	O
설계	설계되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 양사는 이를 통해 대폭 향상된 데이터 송수신 속도와 기지국-단말 간 무선 전송 성능, 도심 지역에서의 초고주파 기술 활용 가능성 등을 검증하고 개선 방안을 도출할 예정이다.
## <양:NOH>사는 이를 통해 대폭 향상된 데이터 송수신 속도와 기지국-단말 간 무선 전송 성능, 도심 지역에서의 초고주파 기술 활용 가능성 등을 검증하고 개선 방안을 도출할 예정이다.
양	양	MM	B-NOH
사	사	NNG	O
는	는	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
향상된	향상되+ㄴ	VV+ETM	O
_	_	_	O
데이터	데이터	NNG	O
_	_	_	O
송수신	송수신	NNG	O
_	_	_	O
속도	속도	NNG	O
와	와	JC	O
_	_	_	O
기지국	기지국	NNG	O
-	-	SO	O
단말	단말	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
무선	무선	NNG	O
_	_	_	O
전송	전송	NNG	O
_	_	_	O
성능	성능	NNG	O
,	,	SP	O
_	_	_	O
도심	도심	NNG	O
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
초고주파	초고주파	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
활용	활용	NNG	O
_	_	_	O
가능성	가능성	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
검증하	검증하	VV	O
고	고	EC	O
_	_	_	O
개선	개선	NNG	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
도출할	도출하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 마지막 단계에서 지미 카터 전 대통령이 평양을 방문해 사태를 수습했다.
## 마지막 단계에서 <지미 카터:PER> 전 대통령이 <평양:LOC>을 방문해 사태를 수습했다.
마지막	마지막	NNG	O
_	_	_	O
단계	단계	NNG	O
에서	에서	JKB	O
_	_	_	O
지미	지미	NNP	B-PER
_	_	_	I-PER
카터	카터	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
평양	평양	NNP	B-LOC
을	을	JKO	O
_	_	_	O
방문해	방문하+여	VV+EC	O
_	_	_	O
사태	사태	NNG	O
를	를	JKO	O
_	_	_	O
수습	수습하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

