## 1
## 광동제약, 코리아이플랫폼 인수 주식매매 계약
## <광동제약:ORG>, <코리아이플랫폼:ORG> 인수 주식매매 계약
광동	광동	NNP	B-ORG
## 그는 『미국은 전쟁이 나더라도 북한 핵개발을 막을 수 있으면 막아야 한다는 입장』이라며 『그러나 우리 민족 입장에서는 전쟁은 결코 일어나선 안된다』고 말했다.
## 그는 『<미국:ORG>은 전쟁이 나더라도 <북한:ORG> 핵개발을 막을 수 있으면 막아야 한다는 입장』이라며 『그러나 우리 민족 입장에서는 전쟁은 결코 일어나선 안된다』고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
『	『	SS	O
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
전쟁	전쟁	NNG	O
이	이	JKS	O
_	_	_	O
나	나	VV	O
더라도	더라도	EC	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
핵	핵	NNG	O
개발	개발	NNG	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
막	막	VV	O
아야	아야	EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
입장	입장	NNG	O
』	』	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
『	『	SS	O
그러나	그러나	MAJ	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
민족	민족	NNG	O
_	_	_	O
입장	입장	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
전쟁	전쟁	NNG	O
은	은	JX	O
_	_	_	O
결코	결코	MAG	O
_	_	_	O
일어나선	일어나+아서+ㄴ	VV+EC+JX	O
_	_	_	O
안된다	안되+ㄴ다	VV+EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 470쪽의 자료집에는 울산 계모 아동학대 살인 사건 개요, 수사와 공판 개요, 사건 의의, 수사자료 외에도 영국, 미국, 독일의 아동학대 사망 사건 자료 등이 담겼다.
## <470쪽:NOH>의 자료집에는 <울산:LOC> 계모 아동학대 살인 사건 개요, 수사와 공판 개요, 사건 의의, 수사자료 외에도 <영국:ORG>, <미국:ORG>, <독일:ORG>의 아동학대 사망 사건 자료 등이 담겼다.
470	470	SN	B-NOH
쪽	쪽	NNG	I-NOH
의	의	JKG	O
_	_	_	O
자료집	자료집	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
울산	울산	NNP	B-LOC
_	_	_	O
계모	계모	NNG	O
_	_	_	O
아동	아동	NNG	O
학대	학대	NNG	O
_	_	_	O
살인	살인	NNG	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
개요	개요	NNG	O
,	,	SP	O
_	_	_	O
수사	수사	NNG	O
와	와	JC	O
_	_	_	O
공판	공판	NNG	O
_	_	_	O
개요	개요	NNG	O
,	,	SP	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
의의	의의	NNG	O
,	,	SP	O
_	_	_	O
수사	수사	NNG	O
자료	자료	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
영국	영국	NNP	B-ORG
,	,	SP	O
_	_	_	O
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
독일	독일	NNP	B-ORG
의	의	JKG	O
_	_	_	O
아동	아동	NNG	O
학대	학대	NNG	O
_	_	_	O
사망	사망	NNG	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
자료	자료	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
담	담기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 현 서울의 택시 승차대는 총 411곳(8월 17일 기준)이다.
## 현 <서울:LOC>의 택시 승차대는 총 <411곳:NOH>(<8월 17일:DAT> 기준)이다.
현	현	MM	O
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
택시	택시	NNG	O
_	_	_	O
승차	승차	NNG	O
대	대	NNG	O
는	는	JX	O
_	_	_	O
총	총	XPN	O
_	_	_	O
411	411	SN	B-NOH
곳	곳	NNG	I-NOH
(	(	SS	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
17	17	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 또 실리콘 위조 지문 제작을 조언한 1명은 정직 1개월을, 실리콘 위조 지문으로 대신 체크를 해준 8명은 견책 처분했다.
## 또 실리콘 위조 지문 제작을 조언한 <1명:NOH>은 정직 <1개월:DUR>을, 실리콘 위조 지문으로 대신 체크를 해준 <8명:NOH>은 견책 처분했다.
또	또	MAG	O
_	_	_	O
실리콘	실리콘	NNG	O
_	_	_	O
위조	위조	NNG	O
_	_	_	O
지문	지문	NNG	O
_	_	_	O
제작	제작	NNG	O
을	을	JKO	O
_	_	_	O
조언한	조언하+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
정직	정직	NNG	O
_	_	_	O
1	1	SN	B-DUR
개월	개월	NNB	I-DUR
을	을	JKO	O
,	,	SP	O
_	_	_	O
실리콘	실리콘	NNG	O
_	_	_	O
위조	위조	NNG	O
_	_	_	O
지문	지문	NNG	O
으로	으로	JKB	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
체크	체크	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
8	8	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
견책	견책	NNG	O
_	_	_	O
처분	처분하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

