## 1
## 다음 날 행사 참석을 위해 대전에서 막 올라온 길이라고 했다.
## 다음 날 행사 참석을 위해 <대전:LOC>에서 막 올라온 길이라고 했다.
다음	다음	NNG	O
2019	2019	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
는	는	JX	O
_	_	_	O
브	브	NNG	B-POH
렉시	렉시	NNP	I-POH
트	트	NNG	I-POH
가	가	JKS	O
_	_	_	O
이뤄질	이루어지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상한다	예상하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 경실련이 창립된 89년 7월이후 줄곧 대표를 맡아온 변형윤서울대 명예교수는 개인적 사정을 이유로 사임했다.
## <경실련:ORG>이 창립된 <89년 7월:DAT>이후 줄곧 대표를 맡아온 <변형윤:PER><서울대:ORG> 명예교수는 개인적 사정을 이유로 사임했다.
경실련	경실련	NNP	B-ORG
이	이	JKS	O
_	_	_	O
창립된	창립되+ㄴ	VV+ETM	O
_	_	_	O
89	89	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
7	7	SN	I-DAT
월	월	NNB	I-DAT
이후	이후	NNG	O
_	_	_	O
줄곧	줄곧	MAG	O
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
변형윤	변형윤	NNP	B-PER
서울대	서울대	NNP	B-ORG
_	_	_	O
명예교수	명예교수	NNG	O
는	는	JX	O
_	_	_	O
개인적	개인적	NNG	O
_	_	_	O
사정	사정	NNG	O
을	을	JKO	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
사임	사임하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ▷시중에는 김 감독과 박근혜 대통령의 리더십이 오버랩된다는 말들이 나온다.
## ▷시중에는 <김:PER> 감독과 <박근혜:PER> 대통령의 리더십이 오버랩된다는 말들이 나온다.
▷	▷	SW	O
시중	시중	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
과	과	JC	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
리더십	리더십	NNG	O
이	이	JKS	O
_	_	_	O
오버랩	오버랩	NNG	O
된다는	되+ㄴ다는	XSV+ETM	O
_	_	_	O
말	말	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 이에 재판부는 “에드워드 리도 증인으로 신청돼 있다”며 “에드워드 리가 이 사건 목격자라면 진술의 신빙성 여부가 관건이 된다”고 말했다.
## 이에 재판부는 “<에드워드 리:PER>도 증인으로 신청돼 있다”며 “<에드워드 리:PER>가 이 사건 목격자라면 진술의 신빙성 여부가 관건이 된다”고 말했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
에드워드	에드워드	NNP	B-PER
_	_	_	I-PER
리	리	NNB	I-PER
도	도	JX	O
_	_	_	O
증인	증인	NNG	O
으로	으로	JKB	O
_	_	_	O
신청돼	신청되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
에드워드	에드워드	NNP	B-PER
_	_	_	I-PER
리	리	NNB	I-PER
가	가	JKS	O
_	_	_	O
이	이	MM	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
목격자	목격자+이	NNG+VCP	O
라면	라면	EC	O
_	_	_	O
진술	진술	NNG	O
의	의	JKG	O
_	_	_	O
신빙성	신빙성	NNG	O
_	_	_	O
여부	여부	NNG	O
가	가	JKS	O
_	_	_	O
관건	관건	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 재판부는 이어 “종전에는 리가 진범으로 기소가 됐었고, 패터슨의 목격 진술 신빙성이 인정됐다”며 “이번에는 거꾸로 패터슨이 진범으로 기소가 됐고, 리가 목격자가 됐다”고 설명했다.
## 재판부는 이어 “종전에는 <리:PER>가 진범으로 기소가 됐었고, <패터슨:PER>의 목격 진술 신빙성이 인정됐다”며 “이번에는 거꾸로 <패터슨:PER>이 진범으로 기소가 됐고, <리:PER>가 목격자가 됐다”고 설명했다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
종전	종전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
리	리	NNB	B-PER
가	가	JKS	O
_	_	_	O
진범	진범	NNG	O
으로	으로	JKB	O
_	_	_	O
기소	기소	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
패터슨	패터슨	NNP	B-PER
의	의	JKG	O
_	_	_	O
목격	목격	NNG	O
_	_	_	O
진술	진술	NNG	O
_	_	_	O
신빙성	신빙성	NNG	O
이	이	JKS	O
_	_	_	O
인정	인정되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
거꾸로	거꾸로	MAG	O
_	_	_	O
패터슨	패터슨	NNP	B-PER
이	이	JKS	O
_	_	_	O
진범	진범	NNG	O
으로	으로	JKB	O
_	_	_	O
기소	기소	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
리	리	NNB	B-PER
가	가	JKS	O
_	_	_	O
목격자	목격자	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 재판부는 이날 당시 피해자 조 씨의 부검을 맡았던 이모 씨에 대한 증인 신문도 진행할 예정이다.
## 재판부는 이날 당시 피해자 <조:PER> 씨의 부검을 맡았던 <이모:PER> 씨에 대한 증인 신문도 진행할 예정이다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
피해자	피해자	NNG	O
_	_	_	O
조	조	NNP	B-PER
_	_	_	O
씨	씨	XSN	O
의	의	JKG	O
_	_	_	O
부검	부검	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
이	이	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
증인	증인	NNG	O
_	_	_	O
신문	신문	NNG	O
도	도	JX	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘이태원 살인사건’ 재판에서 검찰과 변호인 양측이 신청한 증인은 에드워드 리를 포함해 총 31명. 에드워드 리와 존 패터슨의 지인, 혈흔 형태 분석가, 도검 전문가 등이 포함됐다.
## ‘<이태원 살인사건:POH>’ 재판에서 검찰과 변호인 양측이 신청한 증인은 <에드워드 리:PER>를 포함해 총 <31명:NOH>. <에드워드 리:PER>와 <존 패터슨:PER>의 지인, 혈흔 형태 분석가, 도검 전문가 등이 포함됐다.
‘	‘	SS	O
이태원	이태원	NNP	B-POH
_	_	_	I-POH
살인	살인	NNG	I-POH
사건	사건	NNG	I-POH
’	’	SS	O
_	_	_	O
재판	재판	NNG	O
에서	에서	JKB	O
_	_	_	O
검찰	검찰	NNG	O
과	과	JC	O
_	_	_	O
변호인	변호인	NNG	O
_	_	_	O
양측	양측	NNG	O
이	이	JKS	O
_	_	_	O
신청한	신청하+ㄴ	VV+ETM	O
_	_	_	O
증인	증인	NNG	O
은	은	JX	O
_	_	_	O
에드워드	에드워드	NNP	B-PER
_	_	_	I-PER
리	리	NNB	I-PER
를	를	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
31	31	SN	B-NOH
명	명	NNB	I-NOH
.	.	SF	O
_	_	_	O
에드워드	에드워드	NNP	B-PER
_	_	_	I-PER
리	리	NNP	I-PER
와	와	JC	O
_	_	_	O
존	존	NNG	B-PER
_	_	_	I-PER
패터슨	패터슨	NNP	I-PER
의	의	JKG	O
_	_	_	O
지인	지인	NNG	O
,	,	SP	O
_	_	_	O
혈흔	혈흔	NNG	O
_	_	_	O
형태	형태	NNG	O
_	_	_	O
분석가	분석가	NNG	O
,	,	SP	O
_	_	_	O
도검	도검	NNG	O
_	_	_	O
전문가	전문가	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
포함	포함되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 마스터스와 US오픈이 6오버파로 악명을 높였고, 디오픈(4오버파)에 이어 바클레이스와 혼다클래식, 발스파챔피언십이 3오버파에서 컷오프가 이뤄졌다.
## <마스터스:POH>와 <US오픈:POH>이 <6오버파:NOH>로 악명을 높였고, <디오픈:POH>(<4오버파:NOH>)에 이어 <바클레이스:POH>와 <혼다클래식:POH>, <발스파챔피언십:POH>이 <3오버파:NOH>에서 컷오프가 이뤄졌다.
마스터스	마스터스	NNG	B-POH
와	와	JC	O
_	_	_	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
이	이	JKS	O
_	_	_	O
6	6	SN	B-NOH
오버	오버	NNG	I-NOH
파	파	NNG	I-NOH
로	로	JKB	O
_	_	_	O
악명	악명	NNG	O
을	을	JKO	O
_	_	_	O
높	높이	VV	O
였	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
디	디	NNG	B-POH
오픈	오픈	NNG	I-POH
(	(	SS	O
4	4	SN	B-NOH
오버파	오버파	NNG	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
바클레이스	바클레이스	NNP	B-POH
와	와	JC	O
_	_	_	O
혼다	혼다	NNP	B-POH
클래식	클래식	NNG	I-POH
,	,	SP	O
_	_	_	O
발스	발스	NNP	B-POH
파	파	NNG	I-POH
챔피언십	챔피언십	NNG	I-POH
이	이	JKS	O
_	_	_	O
3	3	SN	B-NOH
오버파	오버파	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
컷오프	컷오프	NNG	O
가	가	JKS	O
_	_	_	O
이뤄졌	이루어지+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 검찰수사 결과 장씨가 저지른 사건의 실체는 규모와 대상만 다를 뿐 지난 82년의 재판이었다.
## 검찰수사 결과 <장:PER>씨가 저지른 사건의 실체는 규모와 대상만 다를 뿐 지난 <82년:DUR>의 재판이었다.
검찰	검찰	NNG	O
수사	수사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
장	장	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
저지른	저지르+ㄴ	VV+ETM	O
_	_	_	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
실체	실체	NNG	O
는	는	JX	O
_	_	_	O
규모	규모	NNG	O
와	와	JC	O
_	_	_	O
대상	대상	NNG	O
만	만	JX	O
_	_	_	O
다를	다르+ㄹ	VA+ETM	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
82	82	SN	B-DUR
년	년	NNB	I-DUR
의	의	JKG	O
_	_	_	O
재판	재판	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 대회는 일주일에 한 번씩 과제를 받아 총 12번의 미션 수행을 통해 점수를 매겨 최고수를 가리는 방식이다.
## 대회는 <일주일:NOH>에 <한 번:NOH>씩 과제를 받아 총 <12번:NOH>의 미션 수행을 통해 점수를 매겨 최고수를 가리는 방식이다.
대회	대회	NNG	O
는	는	JX	O
_	_	_	O
일주일	일주일	NNG	B-NOH
에	에	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
과제	과제	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
12	12	SN	B-NOH
번	번	NNB	I-NOH
의	의	JKG	O
_	_	_	O
미션	미션	NNG	O
_	_	_	O
수행	수행	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
점수	점수	NNG	O
를	를	JKO	O
_	_	_	O
매겨	매기+어	VV+EC	O
_	_	_	O
최	최	XPN	O
고수	고수	NNG	O
를	를	JKO	O
_	_	_	O
가리	가리	VV	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 이어 김민식도 적시타를 기록, 스코어는 3-0이 됐다.
## 이어 <김민식:PER>도 적시타를 기록, 스코어는 <3-0:NOH>이 됐다.
이	잇	VV	O
어	어	EC	O
_	_	_	O
김민식	김민식	NNP	B-PER
도	도	JX	O
_	_	_	O
적시타	적시타	NNG	O
를	를	JKO	O
_	_	_	O
기록	기록	NNG	O
,	,	SP	O
_	_	_	O
스코어	스코어	NNG	O
는	는	JX	O
_	_	_	O
3	3	SN	B-NOH
-	-	SO	I-NOH
0	0	SN	I-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 정찬성, UFC 1라운드 KO…“시국 어렵다,
## <정찬성:PER>, <UFC:POH> <1라운드:NOH> KO…“시국 어렵다,
정찬성	정찬성	NNP	B-PER
,	,	SP	O
_	_	_	O
UFC	UFC	SL	B-POH
_	_	_	O
1	1	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
KO	KO	SL	O
…	…	SE	O
“	“	SS	O
시국	시국	NNG	O
_	_	_	O
어렵	어렵	VA	O
다	다	EC	O
,	,	SP	O

## 14
## ‘한솥도시락’이 2016 고객사랑브랜드대상 도시락프랜차이즈 부문에서 2년 연속 대상에 선정됐다.
## ‘<한솥도시락:POH>’이 <2016:DAT> 고객사랑브랜드대상 도시락프랜차이즈 부문에서 <2년:NOH> 연속 대상에 선정됐다.
‘	‘	SS	O
한	한	MM	B-POH
솥	솥	NNG	I-POH
도시락	도시락	NNG	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
2016	2016	SN	B-DAT
_	_	_	O
고객	고객	NNG	O
사랑	사랑	NNG	O
브랜드	브랜드	NNG	O
대상	대상	NNG	O
_	_	_	O
도시락	도시락	NNG	O
프랜차이즈	프랜차이즈	NNG	O
_	_	_	O
부문	부문	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
대상	대상	NNG	O
에	에	JKB	O
_	_	_	O
선정	선정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 지난 1993년 서울 종로구청 주변에 작은 매장으로 시작한 한솥도시락은 23년이 지난 현재 680여 개로 늘었다.
## 지난 <1993년:DAT> <서울 종로구청:LOC> 주변에 작은 매장으로 시작한 <한솥도시락:POH>은 <23년:NOH>이 지난 현재 <680여 개:NOH>로 늘었다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1993	1993	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
종로구	종로구	NNP	I-LOC
청	청	XSN	I-LOC
_	_	_	O
주변	주변	NNG	O
에	에	JKB	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
매장	매장	NNG	O
으로	으로	JKB	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
한	한	MM	B-POH
솥	솥	NNG	I-POH
도시락	도시락	NNG	I-POH
은	은	JX	O
_	_	_	O
23	23	SN	B-NOH
년	년	NNB	I-NOH
이	이	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
680	680	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

