## 1
## 지금도 머스크가 어디선가 엉뚱한 공상으로 임직원을 닦달하고 있는 한 말이다.
## 지금도 <머스크:PER>가 어디선가 엉뚱한 공상으로 임직원을 닦달하고 있는 한 말이다.
지금	지금	NNG	O
## 특히 <추석:DAT>을 앞두고 다양한 구성의 글라스락 홈세트는 매일 판매 <1시간:DUR> 만에 매진되는 등 큰 인기를 끌었다.
특히	특히	MAG	O
_	_	_	O
추석	추석	NNG	B-DAT
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
구성	구성	NNG	O
의	의	JKG	O
_	_	_	O
글라스	글라스	NNG	O
락	락	NNG	O
_	_	_	O
홈	홈	NNG	O
세트	세트	NNG	O
는	는	JX	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
1	1	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
매진되	매진되	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 알리바바닷컴의 Wholesale는 중소기업들이 브랜드 관리 능력을 인정받은 전세계 50개 기업을 통해 브랜드 상품을 구입할 수 있도록 한 것인데, 여기에 멤버쉽컴퍼니가 포함됐다.
## <알리바바닷컴:ORG>의 Wholesale는 중소기업들이 브랜드 관리 능력을 인정받은 전세계 <50개:NOH> 기업을 통해 브랜드 상품을 구입할 수 있도록 한 것인데, 여기에 <멤버쉽컴퍼니:ORG>가 포함됐다.
알리바바	알리바바	NNP	B-ORG
닷컴	닷컴	NNG	I-ORG
의	의	JKG	O
_	_	_	O
Wholesale	Wholesale	SL	O
는	는	JX	O
_	_	_	O
중소기업	중소기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
관리	관리	NNG	O
_	_	_	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
인정받	인정받	VV	O
은	은	ETM	O
_	_	_	O
전	전	MM	O
세계	세계	NNG	O
_	_	_	O
50	50	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
상품	상품	NNG	O
을	을	JKO	O
_	_	_	O
구입할	구입하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
인데	이+ㄴ데	VCP+EC	O
,	,	SP	O
_	_	_	O
여기	여기	NP	O
에	에	JKB	O
_	_	_	O
멤버	멤버	NNG	B-ORG
쉽	쉽	NNG	I-ORG
컴퍼니	컴퍼니	NNG	I-ORG
가	가	JKS	O
_	_	_	O
포함	포함되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 윤석민 복귀 내막… 이미 지난달 협상 완료?
## <윤석민:PER> 복귀 내막… 이미 지난달 협상 완료?
윤석민	윤석민	NNP	B-PER
_	_	_	O
복귀	복귀	NNG	O
_	_	_	O
내막	내막	NNG	O
…	…	SE	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
협상	협상	NNG	O
_	_	_	O
완료	완료	NNG	O
?	?	SF	O

## 11
## 내 활동 초기에 200만∼300만 원이었는데 별로 오르지 않았다.
## 내 활동 초기에 <200만:MNY>∼<300만 원:MNY>이었는데 별로 오르지 않았다.
내	나+의	NP+JKG	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
초기	초기	NNG	O
에	에	JKB	O
_	_	_	O
200	200	SN	B-MNY
만	만	NR	I-MNY
∼	∼	SO	O
300	300	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
별로	별로	MAG	O
_	_	_	O
오르	오르	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

