## 1
## 방송인 김기수가 과거 지인에게 배신 당한 전말을 털어놓는다.
## 방송인 <김기수:PER>가 과거 지인에게 배신 당한 전말을 털어놓는다.
방송인	방송인	NNG	O
_	_	_	O
방문	방문하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
팬	팬	NNG	O
이	이	VCP	O
라면	라면	EC	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
취미	취미	NNG	O
가	가	JKS	O
_	_	_	O
골프	골프+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
사실	사실	NNG	O
은	은	JX	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
을	을	ETM	O
_	_	_	O
터	터	NNB	O
.	.	SF	O
_	_	_	O
박인비	박인비	NNP	B-PER
의	의	JKG	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
초대	초대	NNG	O
에	에	JKB	O
_	_	_	O
보아	보아	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
실제로	실제로	MAG	O
_	_	_	O
만나	만나	VV	O
니	니	EC	O
_	_	_	O
너무나	너무나	MAG	O
_	_	_	O
매력적	매력적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
아름다	아름답	VA	O
운	ㄴ	ETM	O
_	_	_	O
그녀	그녀	NP	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
영광	영광	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
인사	인사	NNG	O
를	를	JKO	O
_	_	_	O
남	남기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## [매거진M] '분노' 이상일 감독, 그의 영화 세계
## [<매거진M:POH>] '<분노:POH>' <이상일:PER> 감독, 그의 영화 세계
[	[	SS	O
매거진	매거진	NNG	B-POH
M	M	SL	I-POH
]	]	SS	O
_	_	_	O
'	'	SS	O
분노	분노	NNG	B-POH
'	'	SS	O
_	_	_	O
이상	이상	NNG	B-PER
일	이+ㄹ	VCP+ETM	I-PER
_	_	_	O
감독	감독	NNG	O
,	,	SP	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
세계	세계	NNG	O

## 10
## 결국 집을 줄이면서 집값이 더 싼 수도권이나 아예 지방으로 이주하는 대안도 검토할 수밖에 없을 것으로 보인다.
## 결국 집을 줄이면서 집값이 더 싼 <수도권:LOC>이나 아예 지방으로 이주하는 대안도 검토할 수밖에 없을 것으로 보인다.
결국	결국	NNG	O
_	_	_	O
집	집	NNG	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
면서	면서	EC	O
_	_	_	O
집값	집값	NNG	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
싼	싸+ㄴ	VA+ETM	O
_	_	_	O
수도권	수도권	NNG	B-LOC
이나	이나	JC	O
_	_	_	O
아예	아예	MAG	O
_	_	_	O
지방	지방	NNG	O
으로	으로	JKB	O
_	_	_	O
이주하	이주하	VV	O
는	는	ETM	O
_	_	_	O
대안	대안	NNG	O
도	도	JX	O
_	_	_	O
검토할	검토하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 3년전 업계 처음으로 기술연구소를 세웠고, 올해는 기술개발투자액이 매출액의 10.1%나 되게 책정한 것도 바로 그런 이유때문이지요.』
## <3년:NOH>전 업계 처음으로 기술연구소를 세웠고, 올해는 기술개발투자액이 매출액의 <10.1%:PNT>나 되게 책정한 것도 바로 그런 이유때문이지요.』
3	3	SN	B-NOH
년	년	NNB	I-NOH
전	전	NNG	O
_	_	_	O
업계	업계	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
기술	기술	NNG	O
연구소	연구소	NNG	O
를	를	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
기술	기술	NNG	O
개발	개발	NNG	O
투자	투자	NNG	O
액	액	XSN	O
이	이	JKS	O
_	_	_	O
매출액	매출액	NNG	O
의	의	JKG	O
_	_	_	O
10.1	10.1	SN	B-PNT
%	%	SW	I-PNT
나	나	JX	O
_	_	_	O
되	되	VV	O
게	게	EC	O
_	_	_	O
책정한	책정하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
이유	이유	NNG	O
때문	때문	NNB	O
이	이	VCP	O
지요	지요	EF	O
.	.	SF	O
』	』	SS	O

## 12
## 조단역이라고 해도 15년차 연기 경력에 비해 얼굴과 이름이 그만큼 알려지지 않은 것이 아쉬울 뿐이다.
## <조단:PER>역이라고 해도 <15년:NOH>차 연기 경력에 비해 얼굴과 이름이 그만큼 알려지지 않은 것이 아쉬울 뿐이다.
조단역	조단역	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
15	15	SN	B-NOH
년	년	NNB	I-NOH
차	차	NNB	O
_	_	_	O
연기	연기	NNG	O
_	_	_	O
경력	경력	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
얼굴	얼굴	NNG	O
과	과	JC	O
_	_	_	O
이름	이름	NNG	O
이	이	JKS	O
_	_	_	O
그만큼	그만큼	MAG	O
_	_	_	O
알려지	알려지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
아쉬	아쉽	VA	O
울	ㄹ	ETM	O
_	_	_	O
뿐	뿐	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 조사 결과 김씨의 혈중알코올농도는 면허취소 기준을 넘는 0.188%였다.
## 조사 결과 <김:PER>씨의 혈중알코올농도는 면허취소 기준을 넘는 <0.188%:PNT>였다.
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
혈중	혈중	NNG	O
알코올	알코올	NNG	O
농도	농도	NNG	O
는	는	JX	O
_	_	_	O
면허	면허	NNG	O
취소	취소	NNG	O
_	_	_	O
기준	기준	NNG	O
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
0.188	0.188	SN	B-PNT
%	%+이	SW+VCP	I-PNT
였	었	EP	O
다	다	EF	O
.	.	SF	O

