## 1
## 정두언 전 새누리당 의원(사진)이 ‘최순실 게이트’가 박근혜 대통령에게 앙심을 품은 일종의 복수전이라고 주장해 논란이 일고 있다.
## <정두언:PER> 전 <새누리당:ORG> 의원(사진)이 ‘<최순실 게이트:POH>’가 <박근혜:PER> 대통령에게 앙심을 품은 일종의 복수전이라고 주장해 논란이 일고 있다.
정두언	정두언	NNP	B-PER
.	.	SF	O

## 3
## 은하 3호를 발사한 평안북도 철산군 동창리 미사일 발사대의 높이는 30m. 이 발사대는 최근 60∼65m 정도로 증축됐다.
## <은하 3호:POH>를 발사한 <평안북도:LOC> <철산군:LOC> <동창리:LOC> 미사일 발사대의 높이는 <30m:NOH>. 이 발사대는 최근 <60:NOH>∼<65m:NOH> 정도로 증축됐다.
은하	은하	NNG	B-POH
_	_	_	I-POH
3	3	SN	I-POH
호	호	NNB	I-POH
를	를	JKO	O
_	_	_	O
발사한	발사하+ㄴ	VV+ETM	O
_	_	_	O
평안북도	평안북도	NNP	B-LOC
_	_	_	O
철산군	철산군	NNP	B-LOC
_	_	_	O
동창리	동창리	NNP	B-LOC
_	_	_	O
미사일	미사일	NNG	O
_	_	_	O
발사대	발사대	NNG	O
의	의	JKG	O
_	_	_	O
높이	높이	NNG	O
는	는	JX	O
_	_	_	O
30	30	SN	B-NOH
m	m	SL	I-NOH
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
발사대	발사대	NNG	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
60	60	SN	B-NOH
∼	∼	SO	O
65	65	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
증축	증축되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ● 광주도 3루에요. (KIA 김기태 감독. 원정팀 감독으로 잠실구장 3루쪽 덕아웃에 서는 기분을 묻자)● 박병호가 곧 3루수로 나갈 것 같은데요. (넥센 염경엽 감독. 2루수 서건창의 부상으로 시즌 초반부터 플랜B를 꺼내야 하는 상황에서 또 다른 선수가 다치기라도 하면 울며 겨자 먹기로 박병호를 3루수로 낼 수밖에 없다며)● 갑자기 귀가 간지러워요. (두산 홍성흔. 김태형 감독이 4번타자 홍성흔의 컨디션이 곧 올라올 것이라고 말하고 있을 때 멀찌감치 떨어져 있다가 갑자기)● 우리 팀 말고 다른 팀에 잘했으면 좋겠구먼. (삼성 류중일 감독. 한화 베테랑 내야수 권용관이 적지 않은 나이에도 새로 이적한 팀에서 잘하고 있어 보기 좋다며)● 프로 감독 하면서 이렇게 해명이라는 걸 해본 건 처음이야. (한화 김성근 감독. 빈볼 사태로 징계를 받은 부분에 대해 격정을 토로하다)[스포츠동아]
## ● <광주:ORG>도 <3루:NOH>에요. (<KIA:ORG> <김기태:PER> 감독. 원정팀 감독으로 <잠실구장:LOC> <3루:NOH>쪽 덕아웃에 서는 기분을 묻자)● <박병호:PER>가 곧 <3루수:NOH>로 나갈 것 같은데요. (<넥센:ORG> <염경엽:PER> 감독. <2루수:NOH> <서건창:PER>의 부상으로 시즌 초반부터 플랜B를 꺼내야 하는 상황에서 또 다른 선수가 다치기라도 하면 울며 겨자 먹기로 <박병호:PER>를 <3루수:NOH>로 낼 수밖에 없다며)● 갑자기 귀가 간지러워요. (<두산:ORG> <홍성흔:PER>. <김태형:PER> 감독이 <4번:NOH>타자 <홍성흔:PER>의 컨디션이 곧 올라올 것이라고 말하고 있을 때 멀찌감치 떨어져 있다가 갑자기)● 우리 팀 말고 다른 팀에 잘했으면 좋겠구먼. (<삼성:ORG> <류중일:PER> 감독. <한화:ORG> 베테랑 내야수 <권용관:PER>이 적지 않은 나이에도 새로 이적한 팀에서 잘하고 있어 보기 좋다며)● 프로 감독 하면서 이렇게 해명이라는 걸 해본 건 처음이야. (<한화:ORG> <김성근:PER> 감독. 빈볼 사태로 징계를 받은 부분에 대해 격정을 토로하다)[<스포츠동아:ORG>]
●	●	SW	O
_	_	_	O
광주도	광주도	NNP	O
_	_	_	O
3	3	SN	B-NOH
루에	루에	NNP	O
요	요	JX	O
.	.	SF	O
_	_	_	O
(	(	SS	O
KIA	KIA	SL	B-ORG
_	_	_	O
김기태	김기태	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
.	.	SF	O
_	_	_	O
원정	원정	NNG	O
팀	팀	NNG	O
_	_	_	O
감독	감독	NNG	O
으로	으로	JKB	O
_	_	_	O
잠실구장	잠실구장	NNP	B-LOC
_	_	_	O
3	3	SN	B-NOH
루	루	NNG	I-NOH
쪽	쪽	NNB	O
_	_	_	O
덕아웃	덕아웃	NNG	O
에	에	JKB	O
_	_	_	O
서	서	VV	O
는	는	ETM	O
_	_	_	O
기분	기분	NNG	O
을	을	JKO	O
_	_	_	O
묻	묻	VV	O
자	자	EF	O
)	)	SS	O
●	●	SW	O
_	_	_	O
박병호	박병호	NNP	B-PER
가	가	JKS	O
_	_	_	O
곧	곧	MAG	O
_	_	_	O
3	3	SN	B-NOH
루수	루수	NNG	I-NOH
로	로	JKB	O
_	_	_	O
나갈	나가+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
은데요	은데요	EF	O
.	.	SF	O
_	_	_	O
(	(	SS	O
넥센	넥센	NNP	B-ORG
_	_	_	O
염경엽	염경엽	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
.	.	SF	O
_	_	_	O
2	2	SN	B-NOH
루수	루수	NNG	I-NOH
_	_	_	O
서건창	서건창	NNP	B-PER
의	의	JKG	O
_	_	_	O
부상	부상	NNG	O
으로	으로	JKB	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
초반	초반	NNG	O
부터	부터	JX	O
_	_	_	O
플랜	플랜	NNG	O
B	B	SL	O
를	를	JKO	O
_	_	_	O
꺼내야	꺼내+어야	VV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
다치	다치	VV	O
기	기	ETN	O
라도	라도	JX	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
울	울	VV	O
며	며	EC	O
_	_	_	O
겨자	겨자	NNG	O
_	_	_	O
먹	먹	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
박병호	박병호	NNP	B-PER
를	를	JKO	O
_	_	_	O
3	3	SN	B-NOH
루수	루수	NNG	I-NOH
로	로	JKB	O
_	_	_	O
낼	내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다며	다며	EF	O
)	)	SS	O
●	●	SW	O
_	_	_	O
갑자기	갑자기	MAG	O
_	_	_	O
귀	귀	NNG	O
가	가	JKS	O
_	_	_	O
간지러	간지럽	VA	O
워요	어요	EF	O
.	.	SF	O
_	_	_	O
(	(	SS	O
두산	두산	NNP	B-ORG
_	_	_	O
홍성흔	홍성흔	NNP	B-PER
.	.	SF	O
_	_	_	O
김태형	김태형	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
번	번	NNB	I-NOH
타자	타자	NNG	O
_	_	_	O
홍성흔	홍성흔	NNP	B-PER
의	의	JKG	O
_	_	_	O
컨디션	컨디션	NNG	O
이	이	JKS	O
_	_	_	O
곧	곧	MAG	O
_	_	_	O
올라올	올라오+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
말하	말하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
멀찌감치	멀찌감치	MAG	O
_	_	_	O
떨어져	떨어지+어	VV+EC	O
_	_	_	O
있	있	VX	O
다가	다가	EC	O
_	_	_	O
갑자기	갑자기	MAG	O
)	)	SS	O
●	●	SW	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
말	말	VV	O
고	고	EC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
팀	팀	NNG	O
에	에	JKB	O
_	_	_	O
잘	잘하	VV	O
했	였	EP	O
으면	으면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
구먼	구먼	EF	O
.	.	SF	O
_	_	_	O
(	(	SS	O
삼성	삼성	NNP	B-ORG
_	_	_	O
류중일	류중일	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
.	.	SF	O
_	_	_	O
한화	한화	NNP	B-ORG
_	_	_	O
베테랑	베테랑	NNG	O
_	_	_	O
내야수	내야수	NNG	O
_	_	_	O
권용관	권용관	NNP	B-PER
이	이	JKS	O
_	_	_	O
적	적	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
나이	나이	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
이적한	이적하+ㄴ	VV+ETM	O
_	_	_	O
팀	팀	NNG	O
에서	에서	JKB	O
_	_	_	O
잘하	잘하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
_	_	_	O
좋	좋	VA	O
다며	다며	EF	O
)	)	SS	O
●	●	SW	O
_	_	_	O
프로	프로	NNG	O
_	_	_	O
감독	감독	NNG	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
해명	해명	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
걸	것+ㄹ	NNB+JKO	O
_	_	_	O
해	하+여	VV+EC	O
본	보+ㄴ	VX+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
야	야	EF	O
.	.	SF	O
_	_	_	O
(	(	SS	O
한화	한화	NNP	B-ORG
_	_	_	O
김성근	김성근	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
.	.	SF	O
_	_	_	O
빈볼	빈볼	NNG	O
_	_	_	O
사태	사태	NNG	O
로	로	JKB	O
_	_	_	O
징계	징계	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
부분	부분	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
격정	격정	NNG	O
을	을	JKO	O
_	_	_	O
토로하	토로하	VV	O
다	다	EF	O
)	)	SS	O
[	[	SS	O
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
]	]	SS	O

## 5
## 최순실 대선관여 의혹엔 “몰랐다”
## <최순실:PER> 대선관여 의혹엔 “몰랐다”
최순실	최순실	NNP	B-PER
_	_	_	O
대선	대선	NNG	O
관여	관여	NNG	O
_	_	_	O
의혹	의혹	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
“	“	SS	O
몰	모르	VV	O
랐	았	EP	O
다	다	EF	O
”	”	SS	O

## 6
## 32만5000개. 전국에 설치된 볼라드(bollard·차량 통행을 막는 말뚝) 개수다.
## <32만5000개:NOH>. 전국에 설치된 볼라드(bollard·차량 통행을 막는 말뚝) 개수다.
32	32	SN	B-NOH
만	만	NR	I-NOH
5000	5000	SN	I-NOH
개	개	NNB	I-NOH
.	.	SF	O
_	_	_	O
전국	전국	NNG	O
에	에	JKB	O
_	_	_	O
설치된	설치되+ㄴ	VV+ETM	O
_	_	_	O
볼	볼	NNG	O
라드	라드	NNG	O
(	(	SS	O
bollard	bollard	SL	O
·	·	SP	O
차량	차량	NNG	O
_	_	_	O
통행	통행	NNG	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
는	는	ETM	O
_	_	_	O
말뚝	말뚝	NNG	O
)	)	SS	O
_	_	_	O
개	개	NNB	O
수다	수다	NNG	O
.	.	SF	O

## 7
## 채수빈, 구자욱과 열애설 부인…연인도 아닌데 손잡고? 소속사 “오해살 만 하지만…”배우 채수빈이 프로야구 삼성 라이온즈의 구자욱과의 열애설을 부인했다.
## <채수빈:PER>, <구자욱:PER>과 열애설 부인…연인도 아닌데 손잡고? 소속사 “오해살 만 하지만…”배우 <채수빈:PER>이 프로야구 <삼성 라이온즈:ORG>의 <구자욱:PER>과의 열애설을 부인했다.
채수빈	채수빈	NNP	B-PER
,	,	SP	O
_	_	_	O
구자욱	구자욱	NNP	B-PER
과	과	JKB	O
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
_	_	_	O
부인	부인	NNG	O
…	…	SE	O
연인	연인	NNG	O
도	도	JX	O
_	_	_	O
아닌데	아니+ㄴ데	VCN+EC	O
_	_	_	O
손잡	손잡	VV	O
고	고	EF	O
?	?	SF	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
“	“	SS	O
오	오	NNP	O
해살	해살	NNG	O
_	_	_	O
만	만	NNB	O
_	_	_	O
하	하	VV	O
지만	지만	EC	O
…	…	SE	O
”	”	SS	O
배우	배우	NNG	O
_	_	_	O
채수빈	채수빈	NNP	B-PER
이	이	JKS	O
_	_	_	O
프로	프로	NNG	O
야구	야구	NNG	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	I-ORG
라이온즈	라이온즈	NNP	I-ORG
의	의	JKG	O
_	_	_	O
구자욱	구자욱	NNP	B-PER
과	과	JKB	O
의	의	JKG	O
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
을	을	JKO	O
_	_	_	O
부인	부인하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 채수빈의 소속사 토인엔터테인먼트 측은 21일 “두 사람은 친한 사이일 뿐 연인 사이는 아니다”라며 열애설을 일축했다.
## <채수빈:PER>의 소속사 <토인엔터테인먼트:ORG> 측은 <21일:DAT> “<두 사람:NOH>은 친한 사이일 뿐 연인 사이는 아니다”라며 열애설을 일축했다.
채수빈	채수빈	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
토인	토인	NNG	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
친한	친하+ㄴ	VA+ETM	O
_	_	_	O
사이	사이	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
연인	연인	NNG	O
_	_	_	O
사이	사이	NNG	O
는	는	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
을	을	JKO	O
_	_	_	O
일축	일축하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 소속사 측은 또 “사진은 다른 지인들과 함께 있다가 지방으로 내려가는 구자욱 선수를 배웅하는 사진”이라며 “사진만 보면 충분히 오해를 살 수 있다고 생각한다.
## 소속사 측은 또 “사진은 다른 지인들과 함께 있다가 지방으로 내려가는 <구자욱:PER> 선수를 배웅하는 사진”이라며 “사진만 보면 충분히 오해를 살 수 있다고 생각한다.
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
사진	사진	NNG	O
은	은	JX	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
지인	지인	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
있	있	VA	O
다가	다가	EC	O
_	_	_	O
지방	지방	NNG	O
으로	으로	JKB	O
_	_	_	O
내려가	내려가	VV	O
는	는	ETM	O
_	_	_	O
구자욱	구자욱	NNP	B-PER
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
배웅하	배웅하	VV	O
는	는	ETM	O
_	_	_	O
사진	사진	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
사진	사진	NNG	O
만	만	JX	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
오해	오해	NNG	O
를	를	JKO	O
_	_	_	O
살	사+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
생각한다	생각하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 기아車, K2 中 판매 호조에…글로벌 판매 증가세로 첫 전환
## <기아車:ORG>, <K2:POH> <中:ORG> 판매 호조에…글로벌 판매 증가세로 첫 전환
기아	기아	NNP	B-ORG
車	車	SH	I-ORG
,	,	SP	O
_	_	_	O
K	K	SL	B-POH
2	2	SN	I-POH
_	_	_	O
中	中	SH	B-ORG
_	_	_	O
판매	판매	NNG	O
_	_	_	O
호조	호조	NNG	O
에	에	JKB	O
…	…	SE	O
글로벌	글로벌	NNG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
증가세	증가세	NNG	O
로	로	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
전환	전환	NNG	O

## 11
## 국수산맥배는 김인 국수의 고향인 강진군과 조훈현 국수의 고향인 영암군, 그리고 이세돌의 고향인 신안군 등 전남의 3개 군이 합작해 만든 대회다.
## <국수산맥배:POH>는 <김인:PER> 국수의 고향인 <강진군:LOC>과 <조훈현:PER> 국수의 고향인 <영암군:LOC>, 그리고 <이세돌:PER>의 고향인 <신안군:LOC> 등 <전남:LOC>의 <3개:NOH> 군이 합작해 만든 대회다.
국수	국수	NNG	B-POH
산맥	산맥	NNG	I-POH
배	배	NNG	I-POH
는	는	JX	O
_	_	_	O
김인	김인	NNP	B-PER
_	_	_	O
국수	국수	NNG	O
의	의	JKG	O
_	_	_	O
고향	고향	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
강진군	강진군	NNP	B-LOC
과	과	JC	O
_	_	_	O
조훈현	조훈현	NNP	B-PER
_	_	_	O
국수	국수	NNG	O
의	의	JKG	O
_	_	_	O
고향	고향	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영암군	영암군	NNP	B-LOC
,	,	SP	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
이세돌	이세돌	NNP	B-PER
의	의	JKG	O
_	_	_	O
고향	고향	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
신안군	신안군	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
전남	전남	NNP	B-LOC
의	의	JKG	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
군	군	NNG	O
이	이	JKS	O
_	_	_	O
합작해	합작하+여	VV+EC	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
대회	대회+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 증가폭이 가장 큰 곳은 강화군으로 2.9%에서 10.8%로 늘었다(+7.9%포인트).인천의 구ㆍ군 가운데 우수 학생 비율이 크게 감소한 곳은 남구로 10.9%(2005 수능)에서 8.1%(2015 수능)로 줄었다.
## 증가폭이 가장 큰 곳은 <강화군:LOC>으로 <2.9%:PNT>에서 <10.8%:PNT>로 늘었다(+<7.9%포인트:PNT>).<인천:LOC>의 구ㆍ군 가운데 우수 학생 비율이 크게 감소한 곳은 <남구:LOC>로 <10.9%:PNT>(<2005:DAT> 수능)에서 <8.1%:PNT>(<2015:DAT> 수능)로 줄었다.
증가	증가	NNG	O
폭	폭	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
강화군	강화군	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
2.9	2.9	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
10.8	10.8	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
(+	(++	SS+SW	O
7.9	7.9	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	I-PNT
)	)	SS	O
.	.	SF	O
인천	인천	NNP	B-LOC
의	의	JKG	O
_	_	_	O
구	구	NNG	O
ㆍ	ㆍ	SP	O
군	군	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
우수	우수	NNG	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
비율	비율	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
감소한	감소하+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
남	남	NNG	B-LOC
구	구	NNG	I-LOC
로	로	JKB	O
_	_	_	O
10.9	10.9	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
2005	2005	SN	B-DAT
_	_	_	O
수능	수능	NNG	O
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
8.1	8.1	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
2015	2015	SN	B-DAT
_	_	_	O
수능	수능	NNG	O
)	)	SS	O
로	로	JKB	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 발언자로 나선 엠마왓슨, 굳은 얼굴로 입을 다문 이유
## 발언자로 나선 <엠마왓슨:PER>, 굳은 얼굴로 입을 다문 이유
발언	발언	NNG	O
자	자	XSN	O
로	로	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
엠마	엠마	NNP	B-PER
왓슨	왓슨	NNP	I-PER
,	,	SP	O
_	_	_	O
굳	굳	VA	O
은	은	ETM	O
_	_	_	O
얼굴	얼굴	NNG	O
로	로	JKB	O
_	_	_	O
입	입	NNG	O
을	을	JKO	O
_	_	_	O
다문	다물+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O

## 14
## 문정인 교수는 “정상회담을 하려면 막후 접촉을 통해 여건을 만들어야 하는데, 공개된 자리에서만 얘기를 주고받다 보면 서로 체면이라는 게 있어 가능성이 희박해진다”고 했다.
## <문정인:PER> 교수는 “정상회담을 하려면 막후 접촉을 통해 여건을 만들어야 하는데, 공개된 자리에서만 얘기를 주고받다 보면 서로 체면이라는 게 있어 가능성이 희박해진다”고 했다.
문정인	문정인	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
정상	정상	NNG	O
회담	회담	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
려면	려면	EC	O
_	_	_	O
막후	막후	NNG	O
_	_	_	O
접촉	접촉	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
여건	여건	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어야	어야	EC	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
자리	자리	NNG	O
에서	에서	JKB	O
만	만	JX	O
_	_	_	O
얘기	얘기	NNG	O
를	를	JKO	O
_	_	_	O
주고받	주고받	VV	O
다	다	EC	O
_	_	_	O
보	보	VX	O
면	면	EC	O
_	_	_	O
서로	서로	MAG	O
_	_	_	O
체면	체면	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
희박해	희박하+여	VA+EC	O
진다	지+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

