## 1
## 개리 결혼 소식에, 누리꾼 “이래서 런닝맨 하차했네” “멘붕이다”
## <개리:PER> 결혼 소식에, 누리꾼 “이래서 <런닝맨:POH> 하차했네” “멘붕이다”
개리	개리	NNP	B-PER
## <레오나르도 울로아:PER>(<아르헨티나:ORG>)가 <11골:NOH>을 터트렸을 뿐 나머지는 고만고만했다.
레오나르도	레오나르도	NNP	B-PER
_	_	_	I-PER
울	울	NNG	I-PER
로아	로아	NNP	I-PER
(	(	SS	O
아르헨티나	아르헨티나	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
11	11	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
터트	터트리	VV	O
렸	었	EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
나머지	나머지	NNG	O
는	는	JX	O
_	_	_	O
고만고만	고만고만하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이름은 클로에다.
## 이름은 <클로에:PER>다.
이름	이름	NNG	O
은	은	JX	O
_	_	_	O
클로	클로	NNG	B-PER
에다	에다	JKB	O
.	.	SF	O

## 5
## 19살의 클로에는 심각한 거식증으로 고통을 받고 있다.
## <19살:NOH>의 <클로에:PER>는 심각한 거식증으로 고통을 받고 있다.
19	19	SN	B-NOH
살	살	NNB	I-NOH
의	의	JKG	O
_	_	_	O
클로에	클로에	NNP	B-PER
는	는	JX	O
_	_	_	O
심각한	심각하+ㄴ	VA+ETM	O
_	_	_	O
거식증	거식증	NNG	O
으로	으로	JKB	O
_	_	_	O
고통	고통	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## [세계로 뛰는 금융]NH농협은행, 금융권 첫 ‘핀테크 오픈플랫폼’ 출시
## [<세계로 뛰는 금융:POH>]<NH농협은행:ORG>, 금융권 첫 ‘핀테크 오픈플랫폼’ 출시
[	[	SS	O
세계	세계	NNG	B-POH
로	로	JKB	I-POH
_	_	_	I-POH
뛰	뛰	VV	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
금융	금융	NNG	I-POH
]	]	SS	O
NH	NH	SL	B-ORG
농협은행	농협은행	NNP	I-ORG
,	,	SP	O
_	_	_	O
금융	금융	NNG	O
권	권	XSN	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
‘	‘	SS	O
핀테크	핀테크	NNG	O
_	_	_	O
오픈	오픈	NNG	O
플랫폼	플랫폼	NNG	O
’	’	SS	O
_	_	_	O
출시	출시	NNG	O

## 7
## 지금은 99.8% 완치됐다.
## 지금은 <99.8%:PNT> 완치됐다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
99.8	99.8	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
완치	완치되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 거기에는 러시아가 한국에 보내는 불신의 메시지가 새겨진 기념비 하나가 있다.
## 거기에는 <러시아:ORG>가 <한국:ORG>에 보내는 불신의 메시지가 새겨진 기념비 <하나:NOH>가 있다.
거기	거기	NP	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
러시아	러시아	NNP	B-ORG
가	가	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
보내	보내	VV	O
는	는	ETM	O
_	_	_	O
불신	불신	NNG	O
의	의	JKG	O
_	_	_	O
메시지	메시지	NNG	O
가	가	JKS	O
_	_	_	O
새겨	새기+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
기념비	기념비	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 3경기를 치르는 데 걸린 시간은 4분 33초에 불과했다.
## <3경기:NOH>를 치르는 데 걸린 시간은 <4분 33초:DUR>에 불과했다.
3	3	SN	B-NOH
경기	경기	NNG	I-NOH
를	를	JKO	O
_	_	_	O
치르	치르	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
걸린	걸리+ㄴ	VV+ETM	O
_	_	_	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	I-DUR
33	33	SN	I-DUR
초	초	NNB	I-DUR
에	에	JKB	O
_	_	_	O
불과	불과하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 직구 위주로 던지던 2회엔 조니 모넬을 상대로 슬라이더를 뿌려 삼진을 잡아냈다.
## 직구 위주로 던지던 <2회:NOH>엔 <조니 모넬:PER>을 상대로 슬라이더를 뿌려 삼진을 잡아냈다.
직구	직구	NNG	O
_	_	_	O
위주	위주	NNG	O
로	로	JKB	O
_	_	_	O
던지	던지	VV	O
던	던	ETM	O
_	_	_	O
2	2	SN	B-NOH
회	회	NNB	I-NOH
엔	에+ㄴ	JKB+JX	O
_	_	_	O
조니	조니	NNP	B-PER
_	_	_	I-PER
모넬	모넬	NNG	I-PER
을	을	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
슬라이더	슬라이더	NNG	O
를	를	JKO	O
_	_	_	O
뿌려	뿌리+어	VV+EC	O
_	_	_	O
삼진	삼진	NNG	O
을	을	JKO	O
_	_	_	O
잡아냈	잡아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 정 씨는 수업일수 193일의 3분의 1 이상을 결석했기 때문에 졸업인정 취소 요건에 해당된다.
## <정:PER> 씨는 수업일수 <193일:NOH>의 <3분의 1:PNT> 이상을 결석했기 때문에 졸업인정 취소 요건에 해당된다.
정	정	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
수업	수업	NNG	O
일수	일수	NNG	O
_	_	_	O
193	193	SN	B-NOH
일	일	NNB	I-NOH
의	의	JKG	O
_	_	_	O
3	3	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
결석	결석하	VV	O
했	였	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
졸업	졸업	NNG	O
인정	인정	NNG	O
_	_	_	O
취소	취소	NNG	O
_	_	_	O
요건	요건	NNG	O
에	에	JKB	O
_	_	_	O
해당된다	해당되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 그래서 미국 정착 초기에 정지 신호 위반으로 경찰 단속에 걸리는 한국인이 적지 않다.
## 그래서 <미국:LOC> 정착 초기에 정지 신호 위반으로 경찰 단속에 걸리는 한국인이 적지 않다.
그래서	그래서	MAJ	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
정착	정착	NNG	O
_	_	_	O
초기	초기	NNG	O
에	에	JKB	O
_	_	_	O
정지	정지	NNG	O
_	_	_	O
신호	신호	NNG	O
_	_	_	O
위반	위반	NNG	O
으로	으로	JKB	O
_	_	_	O
경찰	경찰	NNG	O
_	_	_	O
단속	단속	NNG	O
에	에	JKB	O
_	_	_	O
걸리	걸리	VV	O
는	는	ETM	O
_	_	_	O
한국인	한국인	NNG	O
이	이	JKS	O
_	_	_	O
적	적	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

