## 1
## 『앞으로 닥칠 미래가 있는데 인간이 이미 기계 같은 삶을 살고 있다면, 기계한테 100% 집니다.
## 『앞으로 닥칠 미래가 있는데 인간이 이미 기계 같은 삶을 살고 있다면, 기계한테 <100%:PNT> 집니다.
『	『	SS	O
에	에	JKB	O
_	_	_	O
정보	정보	NNG	O
통신	통신	NNG	O
기술	기술	NNG	O
,	,	SP	O
_	_	_	O
소재	소재	NNG	O
부품	부품	NNG	O
,	,	SP	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
분야	분야	NNG	O
의	의	JKG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
940	940	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
곳	곳	NNG	I-NOH
과	과	JC	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
바이어	바이어	NNG	O
_	_	_	O
350	350	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
업체	업체	NNG	I-NOH
가	가	JKS	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 오피스텔은 2개 동에 전용 84㎡인 282실이 들어선다.
## 오피스텔은 <2개:NOH> 동에 전용 <84㎡:NOH>인 <282실:NOH>이 들어선다.
오피스텔	오피스텔	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
동	동	NNB	O
에	에	JKB	O
_	_	_	O
전용	전용	NNG	O
_	_	_	O
84	84	SN	B-NOH
㎡	㎡	SW	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
282	282	SN	B-NOH
실	실	NNB	I-NOH
이	이	JKS	O
_	_	_	O
들어선다	들어서+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 기아도 영업소에 아벨라 1대씩 공급
## <기아:ORG>도 영업소에 <아벨라:POH> <1대:NOH>씩 공급
기아	기아	NNP	B-ORG
도	도	JX	O
_	_	_	O
영업소	영업소	NNG	O
에	에	JKB	O
_	_	_	O
아벨라	아벨라	NNG	B-POH
_	_	_	O
1	1	SN	B-NOH
대	대	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
공급	공급	NNG	O

## 9
## 그밖에 「SKC 중학영어」(옥소리) 「앵무새 영어첫걸음」(세광데이터테크) 「오성식 생활영어」 「액티브 잉글리시」(삼성전자) 「민병철 매직잉글리시」(〃) 등 어학학습용 시디롬 타이틀들도 꾸준한 판매신장세를 보이고 있다.
## 그밖에 「<SKC 중학영어:POH>」(<옥소리:ORG>) 「<앵무새 영어첫걸음:POH>」(<세광데이터테크:ORG>) 「<오성식 생활영어:POH>」 「<액티브 잉글리시:POH>」(<삼성전자:ORG>) 「<민병철 매직잉글리시:POH>」(〃) 등 어학학습용 시디롬 타이틀들도 꾸준한 판매신장세를 보이고 있다.
그	그	NP	O
밖에	밖에	JX	O
_	_	_	O
「	「	SS	O
SKC	SKC	SL	B-POH
_	_	_	I-POH
중학	중학	NNG	I-POH
영어	영어	NNP	I-POH
」	」	SS	O
(	(	SS	O
옥소리	옥소리	NNP	B-ORG
)	)	SS	O
_	_	_	O
「	「	SS	O
앵무새	앵무새	NNG	B-POH
_	_	_	I-POH
영어	영어	NNP	I-POH
첫걸음	첫걸음	NNG	I-POH
」	」	SS	O
(	(	SS	O
세광	세광	NNP	B-ORG
데이터	데이터	NNG	I-ORG
테크	테크	NNG	I-ORG
)	)	SS	O
_	_	_	O
「	「	SS	O
오성식	오성식	NNP	B-POH
_	_	_	I-POH
생활	생활	NNG	I-POH
영어	영어	NNP	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
액티브	액티브	NNG	B-POH
_	_	_	I-POH
잉글리시	잉글리시	NNP	I-POH
」	」	SS	O
(	(	SS	O
삼성전자	삼성전자	NNP	B-ORG
)	)	SS	O
_	_	_	O
「	「	SS	O
민병철	민병철	NNP	B-POH
_	_	_	I-POH
매직	매직	NNG	I-POH
잉글리시	잉글리시	NNG	I-POH
」	」	SS	O
(	(	SS	O
〃	〃	SW	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
어학	어학	NNG	O
학습	학습	NNG	O
용	용	XSN	O
_	_	_	O
시디롬	시디롬	NNG	O
_	_	_	O
타이틀	타이틀	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
꾸준한	꾸준하+ㄴ	VA+ETM	O
_	_	_	O
판매	판매	NNG	O
신장세	신장세	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 팝송 ‘원 서머 나이트’와 영화 ‘사랑의 스잔나(원제 추하·秋霞·1976)’의 주인공 천추샤(陳秋霞·진추하·58)는 한국 7080세대에게 지금도 영원한 뮤즈다.
## 팝송 ‘<원 서머 나이트:POH>’와 영화 ‘<사랑의 스잔나:POH>(원제 <추하·秋霞:POH>·<1976:DAT>)’의 주인공 <천추샤:PER>(<陳秋霞:PER>·<진추하:PER>·<58:NOH>)는 <한국:LOC> <7080세대:NOH>에게 지금도 영원한 뮤즈다.
팝송	팝송	NNG	O
_	_	_	O
‘	‘	SS	O
원	원	IC	B-POH
_	_	_	I-POH
서머	서머	NNG	I-POH
_	_	_	I-POH
나이트	나이트	NNG	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
사랑	사랑	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
스잔나	스잔나	NNP	I-POH
(	(	SS	O
원제	원제	NNG	O
_	_	_	O
추하	추하	NNG	B-POH
·	·	SP	I-POH
秋霞	秋霞	SH	I-POH
·	·	SP	O
1976	1976	SN	B-DAT
)	)	SS	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
주인공	주인공	NNG	O
_	_	_	O
천	천	NR	B-PER
추샤	추샤	NNP	I-PER
(	(	SS	O
陳秋霞	陳秋霞	SH	B-PER
·	·	SP	O
진추하	진추하	NNP	B-PER
·	·	SP	O
58	58	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
7080	7080	SN	B-NOH
세대	세대	NNG	I-NOH
에게	에게	JKB	O
_	_	_	O
지금	지금	NNG	O
도	도	JX	O
_	_	_	O
영원한	영원하+ㄴ	VA+ETM	O
_	_	_	O
뮤즈	뮤즈	NNP	O
다	다	NNG	O
.	.	SF	O

## 11
## ‘한 번 더 생각해보시라’며 만류했지만, 지난 주말 ‘뜻을 바꿀 생각이 없다’는 최종통고가 왔다.
## ‘<한 번:NOH> 더 생각해보시라’며 만류했지만, 지난 주말 ‘뜻을 바꿀 생각이 없다’는 최종통고가 왔다.
‘	‘	SS	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
생각해	생각하+여	VV+EC	O
보	보	VX	O
시	시	EP	O
라	라	EF	O
’	’	SS	O
며	며	EC	O
_	_	_	O
만류	만류하	VV	O
했	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
주말	주말	NNG	O
_	_	_	O
‘	‘	SS	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
바꿀	바꾸+ㄹ	VV+ETM	O
_	_	_	O
생각	생각	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
최종	최종	NNG	O
통고	통고	NNG	O
가	가	JKS	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 인텔은 IoT 환경에 최적화된 네트워크용 게이트웨이, 우표만한 크기의 PC인 인텔 에디슨(Intel Edison), 단추만한 PC인 인텔 큐리(Intel Curie)등을 이미 발표했다.
## <인텔:ORG>은 IoT 환경에 최적화된 네트워크용 게이트웨이, 우표만한 크기의 PC인 <인텔 에디슨:POH>(<Intel Edison:POH>), 단추만한 PC인 <인텔 큐리:POH>(<Intel Curie:POH>)등을 이미 발표했다.
인텔	인텔	NNP	B-ORG
은	은	JX	O
_	_	_	O
IoT	IoT	SL	O
_	_	_	O
환경	환경	NNG	O
에	에	JKB	O
_	_	_	O
최적화된	최적화되+ㄴ	VV+ETM	O
_	_	_	O
네트워크	네트워크	NNG	O
용	용	XSN	O
_	_	_	O
게이트웨이	게이트웨이	NNG	O
,	,	SP	O
_	_	_	O
우표	우표	NNG	O
만	만	JX	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
크기	크기	NNG	O
의	의	JKG	O
_	_	_	O
PC	PC	SL	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
인텔	인텔	NNP	B-POH
_	_	_	I-POH
에디슨	에디슨	NNP	I-POH
(	(	SS	O
Intel	Intel	SL	B-POH
_	_	_	I-POH
Edison	Edison	SL	I-POH
)	)	SS	O
,	,	SP	O
_	_	_	O
단추	단추	NNG	O
만	만	JX	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
PC	PC	SL	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
인텔	인텔	NNP	B-POH
_	_	_	I-POH
큐	큐	NNG	I-POH
리	리	NNG	I-POH
(	(	SS	O
Intel	Intel	SL	B-POH
_	_	_	I-POH
Curie	Curie	SL	I-POH
)	)	SS	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 이런 노력 덕분에 대륭정밀은 최근 한국능률협회 국제화대상을 받은 것을 비롯, 매년 큰 상을 한두개씩 받고있으며, 50%를 출자한 자회사격인 기륭전자 역시 올해 무역의 날에 포상을 받았다.
## 이런 노력 덕분에 <대륭정밀:ORG>은 최근 <한국능률협회 국제화대상:POH>을 받은 것을 비롯, 매년 큰 상을 <한두개:NOH>씩 받고있으며, <50%:PNT>를 출자한 자회사격인 <기륭전자:ORG> 역시 올해 <무역의 날:DAT>에 포상을 받았다.
이런	이런	MM	O
_	_	_	O
노력	노력	NNG	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
대륭정밀	대륭정밀	NNP	B-ORG
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
한국	한국	NNP	B-POH
능률	능률	NNG	I-POH
협회	협회	NNG	I-POH
_	_	_	I-POH
국제화	국제화	NNG	I-POH
대상	대상	NNG	I-POH
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
비롯	비롯	NNG	O
,	,	SP	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
상	상	NNG	O
을	을	JKO	O
_	_	_	O
한두	한두	MM	B-NOH
개	개	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
받	받	VV	O
고	고	EC	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
출자한	출자하+ㄴ	VV+ETM	O
_	_	_	O
자회사	자회사	NNG	O
격	격	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
기륭전자	기륭전자	NNP	B-ORG
_	_	_	O
역시	역시	MAG	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
무역	무역	NNG	B-DAT
의	의	JKG	I-DAT
_	_	_	I-DAT
날	날	NNG	I-DAT
에	에	JKB	O
_	_	_	O
포상	포상	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

