## 1
## 예를 들어 참여정부 첫 총리로 고건 씨를 임명했는데, 요즘 잣대로 보면 청문회 통과가 힘들었어요.
## 예를 들어 참여정부 첫 총리로 <고건:PER> 씨를 임명했는데, 요즘 잣대로 보면 청문회 통과가 힘들었어요.
예	예	NNG	O
## <조인성:PER>의 소속사 <IOK엔터테인먼트:ORG>의 한 관계자는 <10일:DAT> "<한재림:PER> 감독의 작품을 제안받고 검토 중이긴 한데 그 작품이 '<트레이스:POH>'는 아니다"면서 "아직 논의가 진행되고 있는 만큼, 차기작에 대해 확정적으로 말하긴 어려운 상태다"고 밝혔다.
조인성	조인성	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
IOK	IOK	SL	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
"	"	SS	O
한재림	한재림	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
작품	작품	NNG	O
을	을	JKO	O
_	_	_	O
제안	제안	NNG	O
받	받	XSV	O
고	고	EC	O
_	_	_	O
검토	검토	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
한데	하+ㄴ데	VX+EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
작품	작품	NNG	O
이	이	JKS	O
_	_	_	O
'	'	SS	O
트레이스	트레이스	NNG	B-POH
'	'	SS	O
는	는	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
"	"	SS	O
면서	면서	EC	O
_	_	_	O
"	"	SS	O
아직	아직	MAG	O
_	_	_	O
논의	논의	NNG	O
가	가	JKS	O
_	_	_	O
진행되	진행되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
,	,	SP	O
_	_	_	O
차기	차기	NNG	O
작	작	XSN	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
확정적	확정적	NNG	O
으로	으로	JKB	O
_	_	_	O
말하	말하	VV	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## '트레이스'는 고영훈 작가의 동명 웹툰을 영화화하는 작품으로 100억원대 SF액션물이다.
## '<트레이스:POH>'는 <고영훈:PER> 작가의 동명 웹툰을 영화화하는 작품으로 <100억원:MNY>대 SF액션물이다.
'	'	SS	O
트레이스	트레이스	NNG	B-POH
'	'	SS	O
는	는	JX	O
_	_	_	O
고영훈	고영훈	NNP	B-PER
_	_	_	O
작가	작가	NNG	O
의	의	JKG	O
_	_	_	O
동명	동명	NNG	O
_	_	_	O
웹	웹	NNG	O
툰	툰	NNP	O
을	을	JKO	O
_	_	_	O
영화화하	영화화하	VV	O
는	는	ETM	O
_	_	_	O
작품	작품	NNG	O
으로	으로	JKB	O
_	_	_	O
100	100	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
SF	SF	SL	O
액션물	액션물	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 형사1은 진실을 알고 있는가
## <형사1:NOH>은 진실을 알고 있는가
형사	형사	NNG	B-NOH
1	1	SN	I-NOH
은	은	JX	O
_	_	_	O
진실	진실	NNG	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는가	는가	EF	O

## 7
## 신용불량 때문에 대출이나 금융거래에 어려움을 겪던 A씨는 김씨의 제안에 속아 총 4600만원을 김씨에게 건넸다.
## 신용불량 때문에 대출이나 금융거래에 어려움을 겪던 <A:PER>씨는 <김:PER>씨의 제안에 속아 총 <4600만원:MNY>을 <김:PER>씨에게 건넸다.
신용	신용	NNG	O
불량	불량	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
대출	대출	NNG	O
이나	이나	JC	O
_	_	_	O
금융거래	금융거래	NNG	O
에	에	JKB	O
_	_	_	O
어려움	어려움	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
던	던	ETM	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
제안	제안	NNG	O
에	에	JKB	O
_	_	_	O
속	속	VV	O
아	아	EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
4600	4600	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
건넸	건네+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘축구 황제’ 펠레(76)가 9일(현지시간) 일본계 여성과 결혼했다.
## ‘축구 황제’ <펠레:PER>(<76:NOH>)가 <9일:DAT>(현지시간) <일본:ORG>계 여성과 결혼했다.
‘	‘	SS	O
축구	축구	NNG	O
_	_	_	O
황제	황제	NNG	O
’	’	SS	O
_	_	_	O
펠레	펠레	NNP	B-PER
(	(	SS	O
76	76	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
일본	일본	NNP	B-ORG
계	계	XSN	O
_	_	_	O
여성	여성	NNG	O
과	과	JKB	O
_	_	_	O
결혼	결혼하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 5위 경쟁을 펼치고 있는 한화가 ‘토털 마운드’로 마지막 스퍼트를 준비하고 있다.
## <5위:NOH> 경쟁을 펼치고 있는 <한화:ORG>가 ‘토털 마운드’로 마지막 스퍼트를 준비하고 있다.
5	5	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
경쟁	경쟁	NNG	O
을	을	JKO	O
_	_	_	O
펼치	펼치	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
한화	한화	NNP	B-ORG
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
토털	토털	NNG	O
_	_	_	O
마운드	마운드	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
스퍼트	스퍼트	NNG	O
를	를	JKO	O
_	_	_	O
준비하	준비하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 김씨는 어린 시절 아버지의 사업이 부도를 겪으며 서울의 판잣집으로 이사 온 후 달고나 장사, 석간신문 배달, 대형트럭 운전사 일을 하며 학업을 마친 것으로 전해졌다.
## <김:PER>씨는 어린 시절 아버지의 사업이 부도를 겪으며 <서울:LOC>의 판잣집으로 이사 온 후 달고나 장사, 석간신문 배달, 대형트럭 운전사 일을 하며 학업을 마친 것으로 전해졌다.
김	김	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
아버지	아버지	NNG	O
의	의	JKG	O
_	_	_	O
사업	사업	NNG	O
이	이	JKS	O
_	_	_	O
부도	부도	NNG	O
를	를	JKO	O
_	_	_	O
겪	겪	VV	O
으며	으며	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
판잣집	판잣집	NNG	O
으로	으로	JKB	O
_	_	_	O
이사	이사	NNG	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
달고나	달고나	NNG	O
_	_	_	O
장사	장사	NNP	O
,	,	SP	O
_	_	_	O
석간	석간	NNG	O
신문	신문	NNG	O
_	_	_	O
배달	배달	NNG	O
,	,	SP	O
_	_	_	O
대형	대형	NNG	O
트럭	트럭	NNG	O
_	_	_	O
운전사	운전사	NNG	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
며	며	EC	O
_	_	_	O
학업	학업	NNG	O
을	을	JKO	O
_	_	_	O
마친	마치+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이희호 여사 방북, 테러 단체 언론사에 성명서…“전세기 폭파할 것”
## <이희호:PER> 여사 방북, 테러 단체 언론사에 성명서…“전세기 폭파할 것”
이희호	이희호	NNP	B-PER
_	_	_	O
여사	여사	NNG	O
_	_	_	O
방북	방북	NNG	O
,	,	SP	O
_	_	_	O
테러	테러	NNG	O
_	_	_	O
단체	단체	NNG	O
_	_	_	O
언론사	언론사	NNG	O
에	에	JKB	O
_	_	_	O
성명서	성명서	NNG	O
…	…	SE	O
“	“	SS	O
전세기	전세기	NNG	O
_	_	_	O
폭파할	폭파하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O

## 12
## 이제 관련 4건의 기술에 대한 수출 거부가 확인됐기 때문에 KFX의 예산 확보에 난항이 예상된다.
## 이제 관련 <4건:NOH>의 기술에 대한 수출 거부가 확인됐기 때문에 <KFX:ORG>의 예산 확보에 난항이 예상된다.
이제	이제	MAG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
4	4	SN	B-NOH
건	건	NNB	I-NOH
의	의	JKG	O
_	_	_	O
기술	기술	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
수출	수출	NNG	O
_	_	_	O
거부	거부	NNG	O
가	가	JKS	O
_	_	_	O
확인	확인되	VV	O
됐	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
KFX	KFX	SL	B-ORG
의	의	JKG	O
_	_	_	O
예산	예산	NNG	O
_	_	_	O
확보	확보	NNG	O
에	에	JKB	O
_	_	_	O
난항	난항	NNG	O
이	이	JKS	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
.	.	SF	O

