## 1
## 김수한 고려대 사회학과 교수는 “현대사회는 사람에게 ‘완벽’을 요구한다.
## <김수한:PER> <고려대:ORG> 사회학과 교수는 “현대사회는 사람에게 ‘완벽’을 요구한다.
김수한	김수한	NNP	B-PER
의	의	JKG	O
_	_	_	O
여유	여유	NNG	O
가	가	JKS	O
_	_	_	O
커지	커지	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
참	참	MAG	O
_	_	_	O
멋진	멋지+ㄴ	VA+ETM	O
_	_	_	O
노후	노후	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
생각	생각	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이에 조영남은 “마음이 있느냐. 사귀어 볼 테냐”고 질문했고, 규현은 “방송 끝나고”라고 기쁜 모습을 보여 눈길을 모았다.
## 이에 <조영남:PER>은 “마음이 있느냐. 사귀어 볼 테냐”고 질문했고, <규현:PER>은 “방송 끝나고”라고 기쁜 모습을 보여 눈길을 모았다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
조영남	조영남	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
마음	마음	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
느냐	느냐	EF	O
.	.	SF	O
_	_	_	O
사귀	사귀	VV	O
어	어	EC	O
_	_	_	O
볼	보+ㄹ	VX+ETM	O
_	_	_	O
테	터+이	NNB+VCP	O
냐	냐	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
질문	질문하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
규	규	NNG	B-PER
현	현	NNG	I-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
방송	방송	NNG	O
_	_	_	O
끝나	끝나	VV	O
고	고	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
기쁜	기쁘+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## KIA로부터 외면받은 강정호에게 손을 내민 구단은 넥센의 전신인 현대 유니콘스였다.
## <KIA:ORG>로부터 외면받은 <강정호:PER>에게 손을 내민 구단은 <넥센:ORG>의 전신인 <현대 유니콘스:ORG>였다.
KIA	KIA	SL	B-ORG
로부터	로부터	JKB	O
_	_	_	O
외면	외면	NNG	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
강정호	강정호	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
내민	내밀+ㄴ	VV+ETM	O
_	_	_	O
구단	구단	NNG	O
은	은	JX	O
_	_	_	O
넥센	넥센	NNP	B-ORG
의	의	JKG	O
_	_	_	O
전신	전신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
현대	현대	NNP	B-ORG
_	_	_	I-ORG
유니콘스	유니콘스+이	NNP+VCP	I-ORG
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 굴지의 여행사 모두투어 네트워크의 자회사인 ㈜모두스테이는 호텔 전문 운영 회사로서 ‘스타즈호텔 김포’의 운영을 맡아 체계적이고 전문적인 호텔 운영을 선보일 예정이다.
## 굴지의 여행사 <모두투어 네트워크:ORG>의 자회사인 <㈜모두스테이:ORG>는 호텔 전문 운영 회사로서 ‘<스타즈호텔 김포:ORG>’의 운영을 맡아 체계적이고 전문적인 호텔 운영을 선보일 예정이다.
굴지	굴지	NNG	O
의	의	JKG	O
_	_	_	O
여행사	여행사	NNG	O
_	_	_	O
모두투어	모두투어	NNP	B-ORG
_	_	_	I-ORG
네트워크	네트워크	NNG	I-ORG
의	의	JKG	O
_	_	_	O
자회사	자회사	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
㈜	㈜	SW	B-ORG
모두	모두	MAG	I-ORG
스테이	스테이	NNG	I-ORG
는	는	JX	O
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
회사	회사	NNG	O
로서	로서	JKB	O
_	_	_	O
‘	‘	SS	O
스타즈	스타즈	NNP	B-ORG
호텔	호텔	NNG	I-ORG
_	_	_	I-ORG
김포	김포	NNP	I-ORG
’	’	SS	O
의	의	JKG	O
_	_	_	O
운영	운영	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
_	_	_	O
체계적	체계적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
전문적	전문적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
운영	운영	NNG	O
을	을	JKO	O
_	_	_	O
선보일	선보이+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 대구 수돗물 취수원을 구미 낙동강 상류 쪽으로 이전하는 문제가 10년 가까이 진전이 없는 사례에서 대구시는 교훈을 찾는 게 필요하다.
## <대구:LOC> 수돗물 취수원을 <구미:LOC> <낙동강:LOC> 상류 쪽으로 이전하는 문제가 <10년:NOH> 가까이 진전이 없는 사례에서 <대구시:ORG>는 교훈을 찾는 게 필요하다.
대구	대구	NNP	B-LOC
_	_	_	O
수돗물	수돗물	NNG	O
_	_	_	O
취수	취수	NNG	O
원	원	XSN	O
을	을	JKO	O
_	_	_	O
구미	구미	NNP	B-LOC
_	_	_	O
낙동강	낙동강	NNP	B-LOC
_	_	_	O
상류	상류	NNG	O
_	_	_	O
쪽	쪽	NNB	O
으로	으로	JKB	O
_	_	_	O
이전하	이전하	VV	O
는	는	ETM	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
가까이	가까이	MAG	O
_	_	_	O
진전	진전	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
사례	사례	NNG	O
에서	에서	JKB	O
_	_	_	O
대구시	대구시	NNP	B-ORG
는	는	JX	O
_	_	_	O
교훈	교훈	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
.	.	SF	O

## 8
## 대구디지털산업진흥원이 운영한다.
## <대구디지털산업진흥원:ORG>이 운영한다.
대구	대구	NNP	B-ORG
디지털	디지털	NNG	I-ORG
산업	산업	NNG	I-ORG
진흥	진흥	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
운영한다	운영하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 파리바게뜨가 ‘2015 한국산업의 브랜드파워(K-BPI) 골든브랜드’ 베이커리 부문 1위를 차지했다.
## <파리바게뜨:ORG>가 ‘<2015 한국산업의 브랜드파워(K-BPI) 골든브랜드:POH>’ 베이커리 부문 <1위:NOH>를 차지했다.
파리바게뜨	파리바게뜨	NNP	B-ORG
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-POH
_	_	_	I-POH
한국	한국	NNP	I-POH
산업	산업	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
브랜드	브랜드	NNG	I-POH
파워	파워	NNG	I-POH
(	(	SS	I-POH
K	K	SL	I-POH
-	-	SO	I-POH
BPI	BPI	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
골든	골든	NNG	I-POH
브랜드	브랜드	NNG	I-POH
’	’	SS	O
_	_	_	O
베이커리	베이커리	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 오메가 시계의 가죽 부분 안쪽에서 문씨의 DNA가 다량 검출돼 수사에 활용됐다고 한다.
## <오메가:ORG> 시계의 가죽 부분 안쪽에서 <문:PER>씨의 DNA가 다량 검출돼 수사에 활용됐다고 한다.
오메가	오메가	NNG	B-ORG
_	_	_	O
시계	시계	NNG	O
의	의	JKG	O
_	_	_	O
가죽	가죽	NNG	O
_	_	_	O
부분	부분	NNG	O
_	_	_	O
안쪽	안쪽	NNG	O
에서	에서	JKB	O
_	_	_	O
문	문	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
DNA	DNA	SL	O
가	가	JKS	O
_	_	_	O
다량	다량	NNG	O
_	_	_	O
검출돼	검출되+어	VV+EC	O
_	_	_	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
활용	활용되	VV	O
됐	었	EP	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 지난해 노동과 스커드-ER 미사일을 발사할 때도 거의 비슷한 시간대에 발사를 한 적이 있다고 군은 밝혔다고각 발사와 관련해 군은 탄도미사일 사거리가 1000km일 경우 고도는 사거리의 3분의 1에서 4분의 1 정도로 판단된다고 설명했다.
## 지난해 <노동과 스커드-ER 미사일:POH>을 발사할 때도 거의 비슷한 시간대에 발사를 한 적이 있다고 군은 밝혔다고각 발사와 관련해 군은 탄도미사일 사거리가 <1000km:NOH>일 경우 고도는 사거리의 <3분의 1:PNT>에서 <4분의 1:PNT> 정도로 판단된다고 설명했다.
지난해	지난해	NNG	O
_	_	_	O
노동	노동	NNG	B-POH
과	과	JC	I-POH
_	_	_	I-POH
스커드	스커드	NNP	I-POH
-	-	SO	I-POH
ER	ER	SL	I-POH
_	_	_	I-POH
미사일	미사일	NNG	I-POH
을	을	JKO	O
_	_	_	O
발사할	발사하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
도	도	JX	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
시간대	시간대	NNG	O
에	에	JKB	O
_	_	_	O
발사	발사	NNG	O
를	를	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
군	군	NNG	O
은	은	JX	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다고	다고	EC	O
각	각	MM	O
_	_	_	O
발사	발사	NNG	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
군	군	NNG	O
은	은	JX	O
_	_	_	O
탄도	탄도	NNG	O
미사일	미사일	NNG	O
_	_	_	O
사거리	사거리	NNG	O
가	가	JKS	O
_	_	_	O
1000	1000	SN	B-NOH
km	km	SL	I-NOH
일	이+ㄹ	VCP+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
고도	고도	NNG	O
는	는	JX	O
_	_	_	O
사거리	사거리	NNG	O
의	의	JKG	O
_	_	_	O
3	3	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
에서	에서	JKB	O
_	_	_	O
4	4	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
판단된다고	판단되+ㄴ다고	VV+EC	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 가격은 5만5000~79만원이며 풍산화동양행과 NH 농협은행 등에서 구매가 가능하다.
## 가격은 <5만5000:MNY>~<79만원:MNY>이며 <풍산화동양행:ORG>과 <NH 농협은행:ORG> 등에서 구매가 가능하다.
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
5000	5000	SN	I-MNY
~	~	SO	O
79	79	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
며	며	EC	O
_	_	_	O
풍산	풍산	NNP	B-ORG
화동	화동	NNP	I-ORG
양행	양행	NNG	I-ORG
과	과	JC	O
_	_	_	O
NH	NH	SL	B-ORG
_	_	_	I-ORG
농협은행	농협은행	NNP	I-ORG
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
구매	구매	NNG	O
가	가	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 선언문은 “북한의 1월 6일 핵실험과 2월 7일, 3월 10일, 3월 18일 탄도미사일 발사를 가장 강력한 용어로 규탄한다”며 “북한의 거듭된 도발로 악화되는 안보 환경이 핵무기 폐기 노력을 어렵게 한다”고 밝혔다.
## 선언문은 “<북한:ORG>의 <1월 6일:DAT> 핵실험과 <2월 7일:DAT>, <3월 10일:DAT>, <3월 18일:DAT> 탄도미사일 발사를 가장 강력한 용어로 규탄한다”며 “<북한:ORG>의 거듭된 도발로 악화되는 안보 환경이 핵무기 폐기 노력을 어렵게 한다”고 밝혔다.
선언문	선언문	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
핵	핵	NNG	O
실험	실험	NNG	O
과	과	JC	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
7	7	SN	I-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
18	18	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
탄도	탄도	NNG	O
미사일	미사일	NNG	O
_	_	_	O
발사	발사	NNG	O
를	를	JKO	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
용어	용어	NNG	O
로	로	JKB	O
_	_	_	O
규탄한다	규탄하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
거듭된	거듭되+ㄴ	VV+ETM	O
_	_	_	O
도발	도발	NNG	O
로	로	JKB	O
_	_	_	O
악화되	악화되	VV	O
는	는	ETM	O
_	_	_	O
안보	안보	NNG	O
_	_	_	O
환경	환경	NNG	O
이	이	JKS	O
_	_	_	O
핵무기	핵무기	NNG	O
_	_	_	O
폐기	폐기	NNG	O
_	_	_	O
노력	노력	NNG	O
을	을	JKO	O
_	_	_	O
어렵	어렵	VA	O
게	게	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 그는 일본에서 데뷔 음반 ‘The Gate of Dreams’를 낸 날, (1996년) 11월 4일을 맞아 다음 달 3∼5일 서울 국립극장 해오름극장에서 20주년 콘서트 ‘유토피아(UTOPIA)’를 연다.
## 그는 <일본:ORG>에서 데뷔 음반 ‘<The Gate of Dreams:POH>’를 낸 날, (<1996년:DAT>) <11월 4일:DAT>을 맞아 다음 달 <3∼5일:DUR> <서울 국립극장 해오름극장:LOC>에서 <20주년:NOH> 콘서트 ‘<유토피아(UTOPIA):POH>’를 연다.
그	그	NP	O
는	는	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
데뷔	데뷔	NNG	O
_	_	_	O
음반	음반	NNG	O
_	_	_	O
‘	‘	SS	O
The	The	SL	B-POH
_	_	_	I-POH
Gate	Gate	SL	I-POH
_	_	_	I-POH
of	of	SL	I-POH
_	_	_	I-POH
Dreams	Dreams	SL	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
날	날	NNG	O
,	,	SP	O
_	_	_	O
(	(	SS	O
1996	1996	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
4	4	SN	I-DAT
일	일	NNB	I-DAT
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
3	3	SN	B-DUR
∼	∼	SO	I-DUR
5	5	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
국립	국립	NNG	I-LOC
극장	극장	NNG	I-LOC
_	_	_	I-LOC
해오름극장	해오름극장	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
20	20	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
콘서트	콘서트	NNG	O
_	_	_	O
‘	‘	SS	O
유토피아	유토피아	NNG	B-POH
(	(	SS	I-POH
UTOPIA	UTOPIA	SL	I-POH
)	)	SS	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

