## 1
## 에커맨은 19득점으로 첫 경기보다 나아진 모습을 보인 것이 GS에게는 위안이었다.
## <에커맨:PER>은 <19:NOH>득점으로 첫 경기보다 나아진 모습을 보인 것이 <GS:ORG>에게는 위안이었다.
에커맨	에커맨	NNG	B-PER
었	었	EP	O
고	고	EC	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
용서할	용서하+ㄹ	VV+ETM	O
_	_	_	O
마음	마음	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
멱살	멱살	NNG	O
을	을	JKO	O
_	_	_	O
잡히	잡히	VV	O
고	고	EC	O
_	_	_	O
주먹	주먹	NNG	O
으로	으로	JKB	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EF	O
’	’	SS	O
고	고	JKQ	O
만	만	JX	O
_	_	_	O
축소해	축소하+여	VV+EC	O
_	_	_	O
진술	진술하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
하지만	하지만	MAJ	O
_	_	_	O
B	B	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
반성하	반성하	VV	O
는	는	ETM	O
_	_	_	O
태도	태도	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
자	자	EC	O
_	_	_	O
나중	나중	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
쇠	쇠	NNG	O
파이프	파이프	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
위협	위협하	VV	O
했	였	EP	O
다	다	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
사실	사실	NNG	O
대로	대로	JX	O
_	_	_	O
진술	진술하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
양형	양형	NNG	O
의	의	JKG	O
_	_	_	O
이유	이유	NNG	O
를	를	JKO	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 소셜네트워크 서비스의 대표주자인 페이스북도 마찬가집니다.
## 소셜네트워크 서비스의 대표주자인 <페이스북:POH>도 마찬가집니다.
소셜	소셜	NNG	O
네트워크	네트워크	NNG	O
_	_	_	O
서비스	서비스	NNG	O
의	의	JKG	O
_	_	_	O
대표	대표	NNG	O
주자	주자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
도	도	JX	O
_	_	_	O
마찬가집니다	마찬가지+이+ㅂ니다	NNG+VCP+EF	O
.	.	SF	O

## 5
## 일본 증시가 폭등한 것은 일본은행이 추가 양적완화 방안을 내놓을 수 있다는 기대감이 커졌기 때문이다.
## <일본:ORG> 증시가 폭등한 것은 <일본:ORG>은행이 추가 양적완화 방안을 내놓을 수 있다는 기대감이 커졌기 때문이다.
일본	일본	NNP	B-ORG
_	_	_	O
증시	증시	NNG	O
가	가	JKS	O
_	_	_	O
폭등한	폭등하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
은행	은행	NNG	O
이	이	JKS	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
양적	양적	NNG	O
완화	완화	NNG	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
기대감	기대감	NNG	O
이	이	JKS	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 5라운드 현재 3승2무로 단독선두를 질주하는 제주 유나이티드와 22일 원정경기를 갖는다.
## <5라운드:NOH> 현재 <3승:NOH><2무:NOH>로 단독선두를 질주하는 <제주 유나이티드:ORG>와 <22일:DAT> 원정경기를 갖는다.
5	5	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
현재	현재	MAG	O
_	_	_	O
3	3	SN	B-NOH
승	승	NNB	I-NOH
2	2	SN	B-NOH
무	무	NNG	I-NOH
로	로	JKB	O
_	_	_	O
단독	단독	NNG	O
선두	선두	NNG	O
를	를	JKO	O
_	_	_	O
질주하	질주하	VV	O
는	는	ETM	O
_	_	_	O
제주	제주	NNP	B-ORG
_	_	_	I-ORG
유나이티드	유나이티드	NNP	I-ORG
와	와	JC	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
원정	원정	NNG	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
는다	는다	EF	O
.	.	SF	O

## 7
## 박근혜 대통령이 28일 성완종 전 경남기업 회장의 두 차례 특별사면 수혜 과정에 대해 ‘진실 규명’을 요구한 것을 계기로 검찰이 수사에 착수하는 방안 검토에 들어갔다.
## <박근혜:PER> 대통령이 <28일:DAT> <성완종:PER> 전 <경남기업:ORG> 회장의 <두 차례:NOH> 특별사면 수혜 과정에 대해 ‘진실 규명’을 요구한 것을 계기로 검찰이 수사에 착수하는 방안 검토에 들어갔다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
성완종	성완종	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
경남기업	경남기업	NNP	B-ORG
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
_	_	_	O
특별사면	특별사면	NNG	O
_	_	_	O
수혜	수혜	NNP	O
_	_	_	O
과정	과정	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
진실	진실	NNG	O
_	_	_	O
규명	규명	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
요구한	요구하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
검찰	검찰	NNG	O
이	이	JKS	O
_	_	_	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
착수하	착수하	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
_	_	_	O
검토	검토	NNG	O
에	에	JKB	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 대구은행의 그룹 비중은 90% 이상이지만 직원의 급여 수준은 떨어지고 있기 때문이다.
## <대구은행:ORG>의 그룹 비중은 <90%:PNT> 이상이지만 직원의 급여 수준은 떨어지고 있기 때문이다.
대구은행	대구은행	NNP	B-ORG
의	의	JKG	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
비중	비중	NNG	O
은	은	JX	O
_	_	_	O
90	90	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
직원	직원	NNG	O
의	의	JKG	O
_	_	_	O
급여	급여	NNG	O
_	_	_	O
수준	수준	NNG	O
은	은	JX	O
_	_	_	O
떨어지	떨어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 인천국제공항을 끼고 있는 인천 영종도에 이르면 4월부터 대기업의 공장 진출이 가능해진다.
## <인천국제공항:LOC>을 끼고 있는 <인천:LOC> <영종도:LOC>에 이르면 <4월:DAT>부터 대기업의 공장 진출이 가능해진다.
인천	인천	NNP	B-LOC
국제공항	국제공항	NNG	I-LOC
을	을	JKO	O
_	_	_	O
끼	끼	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	O
영종도	영종도	NNP	B-LOC
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
면	면	EC	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
대기업	대기업	NNG	O
의	의	JKG	O
_	_	_	O
공장	공장	NNG	O
_	_	_	O
진출	진출	NNG	O
이	이	JKS	O
_	_	_	O
가능해	가능하+여	VA+EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 10
## 전북을 응원하기 위해 한국을 방문하겠다”고 밝혔다.
## <전북:ORG>을 응원하기 위해 <한국:LOC>을 방문하겠다”고 밝혔다.
전북	전북	NNP	B-ORG
을	을	JKO	O
_	_	_	O
응원하	응원하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
방문하	방문하	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 아틀레티코, 마드리드 더비 4-0 완승 아틀레티코 마드리드가 8일(한국시간) 비센테 칼데론에서 열린 2014∼2015시즌 스페인 프리메라리가 22라운드 홈경기에서 지역 라이벌 레알 마드리드를 4-0으로 대파했다.
## <아틀레티코:ORG>, <마드리드 더비:POH> <4-0:NOH> 완승 <아틀레티코 마드리드:ORG>가 <8일:DAT>(<한국:LOC>시간) <비센테 칼데론:LOC>에서 열린 <2014∼2015:DUR>시즌 <스페인 프리메라리가:ORG> <22라운드:NOH> 홈경기에서 지역 라이벌 <레알 마드리드:ORG>를 <4-0:NOH>으로 대파했다.
아틀레티코	아틀레티코	NNP	B-ORG
,	,	SP	O
_	_	_	O
마드리드	마드리드	NNP	B-POH
_	_	_	I-POH
더비	더비	NNP	I-POH
_	_	_	O
4	4	SN	B-NOH
-	-	SO	I-NOH
0	0	SN	I-NOH
_	_	_	O
완승	완승	NNG	O
_	_	_	O
아틀레티코	아틀레티코	NNP	B-ORG
_	_	_	I-ORG
마드리드	마드리드	NNP	I-ORG
가	가	JKS	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
비센테	비센테	NNP	B-LOC
_	_	_	I-LOC
칼데론	칼데론	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
2014	2014	SN	B-DUR
∼	∼	SO	I-DUR
2015	2015	SN	I-DUR
시즌	시즌	NNG	O
_	_	_	O
스페인	스페인	NNP	B-ORG
_	_	_	I-ORG
프리메라리가	프리메라리가	NNG	I-ORG
_	_	_	O
22	22	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
홈경기	홈경기	NNG	O
에서	에서	JKB	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
라이벌	라이벌	NNG	O
_	_	_	O
레알	레알	NNP	B-ORG
_	_	_	I-ORG
마드리드	마드리드	NNP	I-ORG
를	를	JKO	O
_	_	_	O
4	4	SN	B-NOH
-	-	SO	I-NOH
0	0	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
대파	대파하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 오리온이 근소하게 3점 리드를 잡았다.
## <오리온:ORG>이 근소하게 <3점:NOH> 리드를 잡았다.
오리온	오리온	NNP	B-ORG
이	이	JKC	O
_	_	_	O
근소하	근소하	VA	O
게	게	EC	O
_	_	_	O
3	3	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
리드	리드	NNG	O
를	를	JKO	O
_	_	_	O
잡	잡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 반면 서준은 게임이 시작되자마자 과자의 유혹에 빠져 웃음을 터뜨렸다.
## 반면 <서준:PER>은 게임이 시작되자마자 과자의 유혹에 빠져 웃음을 터뜨렸다.
반면	반면	NNG	O
_	_	_	O
서준	서준	NNP	B-PER
은	은	JX	O
_	_	_	O
게임	게임	NNG	O
이	이	JKS	O
_	_	_	O
시작되	시작되	VV	O
자마자	자마자	EC	O
_	_	_	O
과자	과자	NNG	O
의	의	JKG	O
_	_	_	O
유혹	유혹	NNG	O
에	에	JKB	O
_	_	_	O
빠져	빠지+어	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
터뜨	터뜨리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

