## 1
## 돌아온 황새 ‘봉순이’, 이름이 왜? ‘봉순이’ 인가 했더니…
## 돌아온 황새 ‘<봉순이:POH>’, 이름이 왜? ‘<봉순이:POH>’ 인가 했더니…
돌아온	돌아오+ㄴ	VV+ETM	O
미래	미래	NNG	O
를	를	JKO	O
…	…	SE	O

## 13
## 양현종 개막전 선발 등판…'메이저리그행 무산' 恨 풀까
## <양현종:PER> 개막전 선발 등판…'<메이저리그:ORG>행 무산' 恨 풀까
양현종	양현종	NNP	B-PER
_	_	_	O
개막	개막	NNG	O
전	전	XSN	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
등판	등판	NNG	O
…	…	SE	O
'	'	SS	O
메이저리그	메이저리그	NNG	B-ORG
행	행	XSN	O
_	_	_	O
무산	무산	NNG	O
'	'	SS	O
_	_	_	O
恨	恨	SH	O
_	_	_	O
풀	풀	VV	O
까	까	EF	O

## 14
## 후레쉬민트 있어요?”할머니는 대답 대신 남자의 코앞으로 껌을 바짝 들이댔다.
## <후레쉬민트:POH> 있어요?”할머니는 대답 대신 남자의 코앞으로 껌을 바짝 들이댔다.
후레쉬	후레쉬	NNG	B-POH
민트	민트	NNG	I-POH
_	_	_	O
있	있	VA	O
어요	어요	EF	O
?	?	SF	O
”	”	SS	O
할머니	할머니	NNG	O
는	는	JX	O
_	_	_	O
대답	대답	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
남자	남자	NNG	O
의	의	JKG	O
_	_	_	O
코앞	코앞	NNG	O
으로	으로	JKB	O
_	_	_	O
껌	껌	NNG	O
을	을	JKO	O
_	_	_	O
바짝	바짝	MAG	O
_	_	_	O
들이댔	들이대+었	VV+EP	O
다	다	EF	O
.	.	SF	O

