## 1
## 두 사람은 기억을 더듬으며 노홍철의 과거 짝사랑 상대에 대해서도 이야기를 나눴다.
## <두 사람:NOH>은 기억을 더듬으며 <노홍철:PER>의 과거 짝사랑 상대에 대해서도 이야기를 나눴다.
두	두	MM	B-NOH
까지	까지	JX	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	O
예능	예능	NNG	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
결혼	결혼하	VV	I-POH
했	었	EP	I-POH
어요	어요	EF	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
선보인	선보이+ㄴ	VV+ETM	O
_	_	_	O
솔직한	솔직하+ㄴ	VA+ETM	O
_	_	_	O
매력	매력	NNG	O
을	을	JKO	O
_	_	_	O
인정받	인정받	VV	O
아	아	EC	O
_	_	_	O
드라마	드라마	NNG	O
와	와	JC	O
_	_	_	O
리얼리티	리얼리티	NNG	O
_	_	_	O
콘셉트	콘셉트	NNG	O
를	를	JKO	O
_	_	_	O
합친	합치+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
연극	연극	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
끝나	끝나	VV	I-POH
고	고	EC	I-POH
_	_	_	I-POH
난	나+ㄴ	VX+ETM	I-POH
_	_	_	I-POH
뒤	뒤	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 현재 태국에서 촬영 중이며 연기자 하석진, 윤소희 등과 함께 참여하고 있다.
## 현재 <태국:LOC>에서 촬영 중이며 연기자 <하석진:PER>, <윤소희:PER> 등과 함께 참여하고 있다.
현재	현재	MAG	O
_	_	_	O
태국	태국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
연기자	연기자	NNG	O
_	_	_	O
하석진	하석진	NNP	B-PER
,	,	SP	O
_	_	_	O
윤소희	윤소희	NNP	B-PER
_	_	_	O
등	등	NNB	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
참여하	참여하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 소속사 드림티엔터테인먼트 관계자는 “멤버들이 가진 매력이 전혀 다른 만큼 다양한 무대에서 활약할 계획이다”고 말했다.
## 소속사 <드림티엔터테인먼트:ORG> 관계자는 “멤버들이 가진 매력이 전혀 다른 만큼 다양한 무대에서 활약할 계획이다”고 말했다.
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
드림	드림	NNG	B-ORG
티	티	NNG	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
멤버	멤버	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
매력	매력	NNG	O
이	이	JKS	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
무대	무대	NNG	O
에서	에서	JKB	O
_	_	_	O
활약할	활약하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 닐 스티븐슨은 과학 지식을 바탕으로 하면서도 풍부한 상상력을 겸비한 공상과학 소설을 쓰는 것으로 유명하다.
## <닐 스티븐슨:PER>은 과학 지식을 바탕으로 하면서도 풍부한 상상력을 겸비한 공상과학 소설을 쓰는 것으로 유명하다.
닐	닐	NNP	B-PER
_	_	_	I-PER
스티븐슨	스티븐슨	NNP	I-PER
은	은	JX	O
_	_	_	O
과학	과학	NNG	O
_	_	_	O
지식	지식	NNG	O
을	을	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
풍부한	풍부하+ㄴ	VA+ETM	O
_	_	_	O
상상력	상상력	NNG	O
을	을	JKO	O
_	_	_	O
겸비한	겸비하+ㄴ	VV+ETM	O
_	_	_	O
공상	공상	NNG	O
과학	과학	NNG	O
_	_	_	O
소설	소설	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
유명하	유명하	VA	O
다	다	EF	O
.	.	SF	O

## 8
## 유토피아 책에 푹 빠진 피터 틸 최근 방한한 페이팔 창업자 피터 틸(Peter Thiel)은 자산 22억 달러(약 2조4000억원)를 보유한 자산가이자 『제로 투 원(Zero to one)』의 저자이기도 한 ‘뇌섹남(뇌가 섹시한 남자)’이다.
## 유토피아 책에 푹 빠진 <피터 틸:PER> 최근 방한한 페이팔 창업자 <피터 틸:PER>(<Peter Thiel:PER>)은 자산 <22억 달러:MNY>(약 <2조4000억원:MNY>)를 보유한 자산가이자 『<제로 투 원(Zero to one):POH>』의 저자이기도 한 ‘<뇌섹남:POH>(뇌가 섹시한 남자)’이다.
유토피아	유토피아	NNG	O
_	_	_	O
책	책	NNG	O
에	에	JKB	O
_	_	_	O
푹	푹	MAG	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
피터	피터	NNP	B-PER
_	_	_	I-PER
틸	틸	NNP	I-PER
_	_	_	O
최근	최근	NNG	O
_	_	_	O
방한	방한	NNG	O
한	한	NNP	O
_	_	_	O
페이	페이	NNG	O
팔	팔	NNG	O
_	_	_	O
창업자	창업자	NNG	O
_	_	_	O
피터	피터	NNP	B-PER
_	_	_	I-PER
틸	틸	NNP	I-PER
(	(	SS	O
Peter	Peter	SL	B-PER
_	_	_	I-PER
Thiel	Thiel	SL	I-PER
)	)	SS	O
은	은	JX	O
_	_	_	O
자산	자산	NNG	O
_	_	_	O
22	22	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
2	2	SN	B-MNY
조	조	NNG	I-MNY
4000	4000	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
를	를	JKO	O
_	_	_	O
보유한	보유하+ㄴ	VV+ETM	O
_	_	_	O
자산가	자산가	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
『	『	SS	O
제로	제로	NNG	B-POH
_	_	_	I-POH
투	투	NNB	I-POH
_	_	_	I-POH
원	원	NNB	I-POH
(	(	SS	I-POH
Zero	Zero	SL	I-POH
_	_	_	I-POH
to	to	SL	I-POH
_	_	_	I-POH
one	one	SL	I-POH
)	)	SS	I-POH
』	』	SS	O
의	의	JKG	O
_	_	_	O
저자	저자	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
‘	‘	SS	O
뇌섹남	뇌섹남	NNG	B-POH
(	(	SS	O
뇌	뇌	NNG	O
가	가	JKS	O
_	_	_	O
섹시한	섹시하+ㄴ	VA+ETM	O
_	_	_	O
남자	남자	NNG	O
)	)	SS	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 그러면서 "가상 레모네이드를 먹으면 진짜 레모네이드를 먹는 경험을 하지만, 칼로리는 0이 될 수 있다"고 덧붙였다.
## 그러면서 "가상 레모네이드를 먹으면 진짜 레모네이드를 먹는 경험을 하지만, 칼로리는 <0:NOH>이 될 수 있다"고 덧붙였다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
"	"	SS	O
가상	가상	NNG	O
_	_	_	O
레모네이드	레모네이드	NNG	O
를	를	JKO	O
_	_	_	O
먹	먹	VV	O
으면	으면	EC	O
_	_	_	O
진짜	진짜	NNG	O
_	_	_	O
레모네이드	레모네이드	NNG	O
를	를	JKO	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
경험	경험	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
칼로리	칼로리	NNG	O
는	는	JX	O
_	_	_	O
0	0	SN	B-NOH
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 영화 ‘트랜스포머’의 주인공 샘 윗위키도 중고차 매장에서 평생의 로봇친구 범블비를 만나지 않았던가. 국내 최대 중고차판매업체 SK엔카와 함께 20대가 구입을 고려해볼 만한 중고차를 Q&A로 풀어봤다.
## 영화 ‘<트랜스포머:POH>’의 주인공 <샘 윗위키:PER>도 중고차 매장에서 평생의 로봇친구 <범블비:PER>를 만나지 않았던가. 국내 최대 중고차판매업체 <SK엔카:ORG>와 함께 <20대:NOH>가 구입을 고려해볼 만한 중고차를 Q&A로 풀어봤다.
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
트랜스포머	트랜스포머	NNG	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
주인공	주인공	NNG	O
_	_	_	O
샘	샘	NNG	B-PER
_	_	_	I-PER
윗위키	윗위키	NNG	I-PER
도	도	JX	O
_	_	_	O
중고차	중고차	NNG	O
_	_	_	O
매장	매장	NNG	O
에서	에서	JKB	O
_	_	_	O
평생	평생	NNG	O
의	의	JKG	O
_	_	_	O
로봇	로봇	NNG	O
친구	친구	NNG	O
_	_	_	O
범	범	XPN	B-PER
블	블	NNG	I-PER
비	비	NNG	I-PER
를	를	JKO	O
_	_	_	O
만나	만나	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
던가	던가	EF	O
.	.	SF	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
중고차	중고차	NNG	O
판매	판매	NNG	O
업체	업체	NNG	O
_	_	_	O
SK	SK	SL	B-ORG
엔카	엔카	NNG	I-ORG
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
구입	구입	NNG	O
을	을	JKO	O
_	_	_	O
고려해	고려하+여	VV+EC	O
볼	보+ㄹ	VX+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
중고차	중고차	NNG	O
를	를	JKO	O
_	_	_	O
Q	Q	SL	O
&	&	SW	O
A	A	SL	O
로	로	JKB	O
_	_	_	O
풀	풀	VV	O
어	어	EC	O
봤	보	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 배우 유지태가 아내 김효진을 향한 애정을 과시했다.
## 배우 <유지태:PER>가 아내 <김효진:PER>을 향한 애정을 과시했다.
배우	배우	NNG	O
_	_	_	O
유지태	유지태	NNP	B-PER
가	가	JKS	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
김효진	김효진	NNP	B-PER
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
애정	애정	NNG	O
을	을	JKO	O
_	_	_	O
과시	과시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 이와 관련해 11일 국회 안전행정위원회 국정감사에 이해진 네이버 의장과 김범수 다음카카오 의장이 증인으로 나올 것으로 보인다.
## 이와 관련해 <11일:DAT> 국회 안전행정위원회 국정감사에 <이해진:PER> <네이버:ORG> 의장과 <김범수:PER> <다음카카오:ORG> 의장이 증인으로 나올 것으로 보인다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
_	_	_	O
안전	안전	NNG	O
행정위원회	행정위원회	NNG	O
_	_	_	O
국정	국정	NNG	O
감사	감사	NNG	O
에	에	JKB	O
_	_	_	O
이해진	이해진	NNP	B-PER
_	_	_	O
네이버	네이버	NNP	B-ORG
_	_	_	O
의장	의장	NNG	O
과	과	JC	O
_	_	_	O
김범수	김범수	NNP	B-PER
_	_	_	O
다음카카오	다음카카오	NNP	B-ORG
_	_	_	O
의장	의장	NNG	O
이	이	JKS	O
_	_	_	O
증인	증인	NNG	O
으로	으로	JKB	O
_	_	_	O
나올	나오+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 13
## 또 1백만원까지는 연대보증인 없이 무보증으로 대출을 해주고 대출금액이 1백만원 이상일 경우엔 한사람만 보증인으로 세우면 대출을 받을수 있다.
## 또 <1백만원:MNY>까지는 연대보증인 없이 무보증으로 대출을 해주고 대출금액이 <1백만원:MNY> 이상일 경우엔 <한사람:NOH>만 보증인으로 세우면 대출을 받을수 있다.
또	또	MAG	O
_	_	_	O
1	1	SN	B-MNY
백만	백만	NR	I-MNY
원	원	NNB	I-MNY
까지	까지	JX	O
는	는	JX	O
_	_	_	O
연대	연대	NNG	O
보증인	보증인	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
무	무	XPN	O
보증	보증	NNG	O
으로	으로	JKB	O
_	_	_	O
대출	대출	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여	VV+EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
대출	대출	NNG	O
금액	금액	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-MNY
백만	백만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
경우	경우	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
한	한	MM	B-NOH
사람	사람	NNG	I-NOH
만	만	JX	O
_	_	_	O
보증인	보증인	NNG	O
으로	으로	JKB	O
_	_	_	O
세우	세우	VV	O
면	면	EC	O
_	_	_	O
대출	대출	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 14
## 수능 D-100일인 지난 8월 9일부터 촬영된 이 영상은 도교육청 미디어팀 직원 5명과 유치원생부터 초등학생, 교직원, 학부모, 페이스북 팔로워까지 100여 명의 시민이 ‘잘 보든 못 보든’을 부르는 모습이 담겼다.
## 수능 <D-100일:NOH>인 지난 <8월 9일:DAT>부터 촬영된 이 영상은 도교육청 미디어팀 직원 <5명:NOH>과 유치원생부터 초등학생, 교직원, 학부모, <페이스북:POH> 팔로워까지 <100여 명:NOH>의 시민이 ‘<잘 보든 못 보든:POH>’을 부르는 모습이 담겼다.
수능	수능	NNG	O
_	_	_	O
D	D	SL	B-NOH
-	-	SO	I-NOH
100	100	SN	I-NOH
일	일	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
9	9	SN	I-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
촬영된	촬영되+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
영상	영상	NNG	O
은	은	JX	O
_	_	_	O
도	도	NNG	O
교육청	교육청	NNG	O
_	_	_	O
미디어	미디어	NNG	O
팀	팀	NNG	O
_	_	_	O
직원	직원	NNG	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
과	과	JC	O
_	_	_	O
유치원생	유치원생	NNG	O
부터	부터	JX	O
_	_	_	O
초등학생	초등학생	NNG	O
,	,	SP	O
_	_	_	O
교직원	교직원	NNG	O
,	,	SP	O
_	_	_	O
학부모	학부모	NNG	O
,	,	SP	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
_	_	_	O
팔로워	팔로워	NNG	O
까지	까지	JX	O
_	_	_	O
100	100	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
시민	시민	NNG	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
잘	잘	MAG	B-POH
_	_	_	I-POH
보	보	VV	I-POH
든	든	EC	I-POH
_	_	_	I-POH
못	못	MAG	I-POH
_	_	_	I-POH
보	보	VV	I-POH
든	든	EF	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
부르	부르	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담	담기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 이 영상에는 ‘얘들아 간절히 원하면 우주가 도와줄’, ‘너무 더워 혼이 비정상’, ‘이러려고 맨 앞에 섰나 자괴감 들고 괴로워’ 등 최근 박근혜 대통령이 발표한 담화문을 패러디한 자막이 함께 담겨 눈길을 끌고 있다.
## 이 영상에는 ‘얘들아 간절히 원하면 우주가 도와줄’, ‘너무 더워 혼이 비정상’, ‘이러려고 맨 앞에 섰나 자괴감 들고 괴로워’ 등 최근 <박근혜:PER> 대통령이 발표한 담화문을 패러디한 자막이 함께 담겨 눈길을 끌고 있다.
이	이	MM	O
_	_	_	O
영상	영상	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
얘	얘	NP	O
들	들	XSN	O
아	아	JKV	O
_	_	_	O
간절히	간절히	MAG	O
_	_	_	O
원하	원하	VV	O
면	면	EC	O
_	_	_	O
우주	우주	NNG	O
가	가	JKS	O
_	_	_	O
도와줄	도와주+ㄹ	VV+ETM	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
너무	너무	MAG	O
_	_	_	O
더	덥	VA	O
워	어	EC	O
_	_	_	O
혼	혼	NNP	O
이	이	JKS	O
_	_	_	O
비정상	비정상	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
이러	이러	VV	O
려고	려고	EC	O
_	_	_	O
맨	맨	MM	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
섰	서+었	VV+EP	O
나	나	EC	O
_	_	_	O
자괴감	자괴감	NNG	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
괴로	괴롭	VA	O
워	어	EF	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
담화문	담화문	NNG	O
을	을	JKO	O
_	_	_	O
패러디	패러디	NNG	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
자막	자막	NNG	O
이	이	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
담겨	담기+어	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

