## 1
## 공정거래위원회는 한국가스공사가 2005~2012년 발주한 경남 통영, 경기 평택, 강원 삼척 LNG 생산기지 저장탱크 공사 입찰 과정에서 담합한 13개 건설사에 과징금 3516억 원을 부과하고 검찰에 고발하기로 했다고 26일 밝혔다.
## <공정거래위원회:ORG>는 <한국가스공사:ORG>가 <2005~2012년:DUR> 발주한 <경남 통영:LOC>, <경기 평택:LOC>, <강원 삼척:LOC> LNG 생산기지 저장탱크 공사 입찰 과정에서 담합한 <13개:NOH> 건설사에 과징금 <3516억 원:MNY>을 부과하고 검찰에 고발하기로 했다고 <26일:DAT> 밝혔다.
공정	공정	NNG	B-ORG
## 그의 대표적인 영화인 ‘영웅본색’, ‘천녀유혼’, ‘야반가성’, ‘백발마녀전’, ‘패왕별희’ 등 수많은 작품을 다시 보면서 장국영의 생전 모습을 추억하고 있다.
## 그의 대표적인 영화인 ‘<영웅본색:POH>’, ‘<천녀유혼:POH>’, ‘<야반가성:POH>’, ‘<백발마녀전:POH>’, ‘<패왕별희:POH>’ 등 수많은 작품을 다시 보면서 <장국영:PER>의 생전 모습을 추억하고 있다.
그	그	NP	O
의	의	JKG	O
_	_	_	O
대표적	대표적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영화	영화	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
영웅본색	영웅본색	NNP	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
천녀유혼	천녀유혼	NNP	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
야반가성	야반가성	NNP	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
백발마녀전	백발마녀전	NNG	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
패왕별희	패왕별희	NNP	B-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
수많	수많	VA	O
은	은	ETM	O
_	_	_	O
작품	작품	NNG	O
을	을	JKO	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
보	보	VV	O
면서	면서	EC	O
_	_	_	O
장국영	장국영	NNP	B-PER
의	의	JKG	O
_	_	_	O
생전	생전	NNG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
추억하	추억하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 장국영은 홍콩 누아르 전성기 시절 활발한 활동을 보였다.
## <장국영:PER>은 <홍콩:ORG> 누아르 전성기 시절 활발한 활동을 보였다.
장국영	장국영	NNP	B-PER
은	은	JX	O
_	_	_	O
홍콩	홍콩	NNP	B-ORG
_	_	_	O
누아르	누아르	NNG	O
_	_	_	O
전성기	전성기	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
활발한	활발하+ㄴ	VA+ETM	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 사건이 발생한 ○○사단 주변 관계자는 『김대위가 평소 뛰어난 지도력을 발휘, 그의 중대는 구타, 가혹행위가 없는 부대로 군내외에서 소문나 있다』며 김대위의 사망을 안타까워했다.
## 사건이 발생한 ○○사단 주변 관계자는 『<김:PER>대위가 평소 뛰어난 지도력을 발휘, 그의 중대는 구타, 가혹행위가 없는 부대로 군내외에서 소문나 있다』며 <김:PER>대위의 사망을 안타까워했다.
사건	사건	NNG	O
이	이	JKS	O
_	_	_	O
발생한	발생하+ㄴ	VV+ETM	O
_	_	_	O
○	○	SW	O
○	○	SW	O
사단	사단	NNG	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
『	『	SS	O
김	김	NNP	B-PER
대위	대위	NNG	O
가	가	JKS	O
_	_	_	O
평소	평소	NNG	O
_	_	_	O
뛰어난	뛰어나+ㄴ	VA+ETM	O
_	_	_	O
지도력	지도력	NNG	O
을	을	JKO	O
_	_	_	O
발휘	발휘	NNG	O
,	,	SP	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
중대	중대	NNG	O
는	는	JX	O
_	_	_	O
구타	구타	NNG	O
,	,	SP	O
_	_	_	O
가혹	가혹	NNG	O
행위	행위	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
부대	부대	NNG	O
로	로	JKB	O
_	_	_	O
군	군	NNG	O
내외	내외	NNG	O
에서	에서	JKB	O
_	_	_	O
소문나	소문나+아	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
』	』	SS	O
며	며	EC	O
_	_	_	O
김	김	NNP	B-PER
대위	대위	NNG	O
의	의	JKG	O
_	_	_	O
사망	사망	NNG	O
을	을	JKO	O
_	_	_	O
안타까워	안타까워하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 둘째로 국민연금기금이 470조원인데 우리 세대가 낸 보험료로 최소 170조원의 투자수익을 얻었다.
## 둘째로 <국민연금:ORG>기금이 <470조원:MNY>인데 우리 세대가 낸 보험료로 최소 <170조원:MNY>의 투자수익을 얻었다.
둘째	둘째	NR	O
로	로	JKB	O
_	_	_	O
국민	국민	NNG	B-ORG
연금	연금	NNG	I-ORG
기금	기금	NNG	O
이	이	JKS	O
_	_	_	O
470	470	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
세대	세대	NNG	O
가	가	JKS	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
보험료	보험료	NNG	O
로	로	JKB	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
170	170	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
투자	투자	NNG	O
수익	수익	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 원로 학자 A씨는 “학계 ‘올드 보이’들을 포함시켜 후배 학자들이 공격하기 어렵게 해 놓은 것 같다.
## 원로 학자 <A:PER>씨는 “학계 ‘올드 보이’들을 포함시켜 후배 학자들이 공격하기 어렵게 해 놓은 것 같다.
원로	원로	NNG	O
_	_	_	O
학자	학자	NNG	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
학계	학계	NNG	O
_	_	_	O
‘	‘	SS	O
올드	올드	NNG	O
_	_	_	O
보이	보이	NNG	O
’	’	SS	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
포함	포함	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
후배	후배	NNG	O
_	_	_	O
학자	학자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
공격하	공격하	VV	O
기	기	ETN	O
_	_	_	O
어렵	어렵	VA	O
게	게	EC	O
_	_	_	O
해	하+여	VX+EC	O
_	_	_	O
놓	놓	VX	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 음료에는 오메가3 지방산과 뇌에 좋다고 알려진 생선에서 찾은 영양소, 비타민 E·B·B13·C가 함유돼 있다.
## 음료에는 <오메가3 지방산:POH>과 뇌에 좋다고 알려진 생선에서 찾은 영양소, 비타민 E·B·B13·C가 함유돼 있다.
음료	음료	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
오메가	오메가	NNG	B-POH
3	3	SN	I-POH
_	_	_	I-POH
지방산	지방산	NNG	I-POH
과	과	JC	O
_	_	_	O
뇌	뇌	NNG	O
에	에	JKB	O
_	_	_	O
좋	좋	VA	O
다고	다고	EC	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
생선	생선	NNG	O
에서	에서	JKB	O
_	_	_	O
찾	찾	VV	O
은	은	ETM	O
_	_	_	O
영양소	영양소	NNG	O
,	,	SP	O
_	_	_	O
비타민	비타민	NNG	O
_	_	_	O
E	E	SL	O
·	·	SP	O
B	B	SL	O
·	·	SP	O
B	B	SL	O
13	13	SN	O
·	·	SP	O
C	C	SL	O
가	가	JKS	O
_	_	_	O
함유돼	함유되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 쿠웨이트에 대한민국 1호 병원을 낸 안강 안강병원장(55)은 6일 수도 쿠웨이트 심포니스타일호텔에서 기자와 만나 아랍과의 첫 인연을 이렇게 소개했다.
## <쿠웨이트:LOC>에 <대한민국:ORG> <1호:NOH> 병원을 낸 <안강:PER> <안강병원:ORG>장(<55:NOH>)은 <6일:DAT> 수도 <쿠웨이트 심포니스타일호텔:LOC>에서 기자와 만나 <아랍:ORG>과의 첫 인연을 이렇게 소개했다.
쿠웨이트	쿠웨이트	NNP	B-LOC
에	에	JKB	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
_	_	_	O
1	1	SN	B-NOH
호	호	NNB	I-NOH
_	_	_	O
병원	병원	NNG	O
을	을	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
안강	안강	NNP	B-PER
_	_	_	O
안강	안강	NNP	B-ORG
병원장	병원장	NNG	O
(	(	SS	O
55	55	SN	B-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
수도	수도	NNG	O
_	_	_	O
쿠웨이트	쿠웨이트	NNP	B-LOC
_	_	_	I-LOC
심포니	심포니	NNG	I-LOC
스타일	스타일	NNG	I-LOC
호텔	호텔	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
기자	기자	NNG	O
와	와	JKB	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
아랍	아랍	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
인연	인연	NNG	O
을	을	JKO	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 삼성라이온즈, 도박자 실명 공개 파문… 검찰 수사 전 상황
## <삼성라이온즈:ORG>, 도박자 실명 공개 파문… 검찰 수사 전 상황
삼성	삼성	NNP	B-ORG
라이온즈	라이온즈	NNP	I-ORG
,	,	SP	O
_	_	_	O
도박자	도박자	NNG	O
_	_	_	O
실명	실명	NNG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
파문	파문	NNG	O
…	…	SE	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
상황	상황	NNG	O

## 12
## ▲국가보안법 폐지 용의는=북한이 본질적으로 변한 후에야 검토 가능하다.
## ▲국가보안법 폐지 용의는=<북한:ORG>이 본질적으로 변한 후에야 검토 가능하다.
▲	▲	SW	O
국가	국가	NNG	O
보안법	보안법	NNG	O
_	_	_	O
폐지	폐지	NNG	O
_	_	_	O
용의	용의	NNG	O
는	는	JX	O
=	=	SW	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
본질적	본질적	NNG	O
으로	으로	JKB	O
_	_	_	O
변한	변하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
에	에	JKB	O
야	야	JX	O
_	_	_	O
검토	검토	NNG	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 한국문화 얼마나 좋고 한국군인들 얼마나 대단한지 알게 됐어요.
## <한국:ORG>문화 얼마나 좋고 <한국:ORG>군인들 얼마나 대단한지 알게 됐어요.
한국	한국	NNP	B-ORG
문화	문화	NNG	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
좋	좋	VA	O
고	고	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
군	군	NNG	O
인들	인들	JX	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
대단한지	대단하+ㄴ지	VA+EC	O
_	_	_	O
알	알	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
어요	어요	EF	O
.	.	SF	O

