## 1
## 재판부는 혐의를 인정한 윤 전 부사장에 대해 “자신의 잘못을 반성하며 사건의 실체를 밝히는 데 기여한 점을 양형에 반영했다”며 집행유예를 선고했다.
## 재판부는 혐의를 인정한 <윤:PER> 전 부사장에 대해 “자신의 잘못을 반성하며 사건의 실체를 밝히는 데 기여한 점을 양형에 반영했다”며 집행유예를 선고했다.
재판부	재판부	NNG	O
로써	로써	JKB	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
화백	화백	NNG	O
은	은	JX	O
_	_	_	O
국내외	국내외	NNG	O
_	_	_	O
경매	경매	NNG	O
를	를	JKO	O
_	_	_	O
통틀어	통틀어	MAG	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
근	근	NNG	O
현대	현대	NNG	O
_	_	_	O
미술품	미술품	NNG	O
_	_	_	O
최고	최고	NNG	O
가	가	JKC	O
_	_	_	O
’	’	SS	O
톱	톱	NNG	B-NOH
5	5	SN	I-NOH
‘	‘	SS	O
를	를	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
으로	으로	JKB	O
_	_	_	O
채우	채우	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 최고가 3위는 올해 4월 서울옥션 홍콩경매에서 약 48억 7000만원에 낙찰된 1970년작 ’무제‘(Untitled)다.
## 최고가 <3위:NOH>는 올해 <4월:DAT> <서울옥션 홍콩경매:POH>에서 약 <48억 7000만원:MNY>에 낙찰된 <1970년:DAT>작 ’<무제:POH>‘(<Untitled:POH>)다.
최고	최고	NNG	O
가	가	JKC	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-POH
옥션	옥션	NNP	I-POH
_	_	_	I-POH
홍콩	홍콩	NNP	I-POH
경매	경매	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
약	약	MM	O
_	_	_	O
48	48	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
7000	7000	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
낙찰된	낙찰되+ㄴ	VV+ETM	O
_	_	_	O
1970	1970	SN	B-DAT
년	년	NNB	I-DAT
작	작	NNG	O
_	_	_	O
’	’	SS	O
무제	무제	NNP	B-POH
‘	‘	SS	O
(	(	SS	O
Untitled	Untitled	SL	B-POH
)	)+이	SS+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 대한상공회의소는 ‘능력 중심 채용모델’ 확산을 위해 기업들에게 직무 중심 입사지원서를 개발해 주고, 필기시험 직무적성검사를 출제해 주고 있다.
## <대한상공회의소:ORG>는 ‘능력 중심 채용모델’ 확산을 위해 기업들에게 직무 중심 입사지원서를 개발해 주고, 필기시험 직무적성검사를 출제해 주고 있다.
대한	대한	NNP	B-ORG
상공	상공	NNG	I-ORG
회의소	회의소	NNG	I-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
능력	능력	NNG	O
_	_	_	O
중심	중심	NNG	O
_	_	_	O
채용	채용	NNG	O
모델	모델	NNG	O
’	’	SS	O
_	_	_	O
확산	확산	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
직무	직무	NNG	O
_	_	_	O
중심	중심	NNG	O
_	_	_	O
입사	입사	NNG	O
지원서	지원서	NNG	O
를	를	JKO	O
_	_	_	O
개발해	개발하+여	VV+EC	O
_	_	_	O
주	주	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
필기시험	필기시험	NNG	O
_	_	_	O
직무	직무	NNG	O
적성	적성	NNG	O
검사	검사	NNG	O
를	를	JKO	O
_	_	_	O
출제해	출제하+여	VV+EC	O
_	_	_	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 또한 지난 1월 20일 국회 본회의에서 의결된 공직선거법 개정안에 따르면, 선거 당일인 9일에도 인터넷·전자우편·문자메시지를 이용한 선거운동이 가능해졌다.
## 또한 지난 <1월 20일:DAT> 국회 본회의에서 의결된 공직선거법 개정안에 따르면, 선거 당일인 <9일:DAT>에도 인터넷·전자우편·문자메시지를 이용한 선거운동이 가능해졌다.
또한	또한	MAG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
20	20	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
_	_	_	O
본회의	본회의	NNG	O
에서	에서	JKB	O
_	_	_	O
의결된	의결되+ㄴ	VV+ETM	O
_	_	_	O
공직	공직	NNG	O
선거법	선거법	NNG	O
_	_	_	O
개정안	개정안	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
,	,	SP	O
_	_	_	O
선거	선거	NNG	O
_	_	_	O
당일	당일	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
인터넷	인터넷	NNG	O
·	·	SP	O
전자	전자	NNG	O
우편	우편	NNG	O
·	·	SP	O
문자	문자	NNG	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
이용한	이용하+ㄴ	VV+ETM	O
_	_	_	O
선거	선거	NNG	O
운동	운동	NNG	O
이	이	JKS	O
_	_	_	O
가능해	가능하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 원유철 상임위에 제2소위를 두는 것에 대해 우리도 긍정적으로 검토하겠습니다.
## <원유철:PER> 상임위에 <제2:NOH>소위를 두는 것에 대해 우리도 긍정적으로 검토하겠습니다.
원유철	원유철	NNP	B-PER
_	_	_	O
상임	상임	NNG	O
위	위	NNG	O
에	에	JKB	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
소위	소위	NNG	O
를	를	JKO	O
_	_	_	O
두	두	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
우리	우리	NP	O
도	도	JX	O
_	_	_	O
긍정적	긍정적	NNG	O
으로	으로	JKB	O
_	_	_	O
검토하	검토하	VV	O
겠	겠	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 8
## 제주영어교육도시는 교육과 글로벌 문화라는 핵심 역량이 강화된 도시로 동북아시아의 교육 허브 기능을 수행할 것이다.
## <제주영어교육도시:LOC>는 교육과 글로벌 문화라는 핵심 역량이 강화된 도시로 <동북아시아:LOC>의 교육 허브 기능을 수행할 것이다.
제주	제주	NNP	B-LOC
영어	영어	NNP	I-LOC
교육	교육	NNG	I-LOC
도시	도시	NNG	I-LOC
는	는	JX	O
_	_	_	O
교육	교육	NNG	O
과	과	JC	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
문화	문화+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
역량	역량	NNG	O
이	이	JKS	O
_	_	_	O
강화된	강화되+ㄴ	VV+ETM	O
_	_	_	O
도시	도시	NNG	O
로	로	JKB	O
_	_	_	O
동북아시아	동북아시아	NNP	B-LOC
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
_	_	_	O
허브	허브	NNG	O
_	_	_	O
기능	기능	NNG	O
을	을	JKO	O
_	_	_	O
수행할	수행하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## ”제주영어교육도시가 위치한 곳은 제주 서남쪽인 서귀포 대정읍 일대. JDC는 이곳에 2021년까지 1조7810억 원을 투입해 379만2000㎡(115만 평) 규모로 도시를 조성 중이다.
## ”<제주영어교육도시:LOC>가 위치한 곳은 <제주:LOC> 서남쪽인 <서귀포:LOC> <대정읍:LOC> 일대. <JDC:ORG>는 이곳에 <2021년:DAT>까지 <1조7810억 원:MNY>을 투입해 <379만2000㎡:NOH>(<115만 평:NOH>) 규모로 도시를 조성 중이다.
”	”	SS	O
제주	제주	NNP	B-LOC
영어	영어	NNP	I-LOC
교육	교육	NNG	I-LOC
도시	도시	NNG	I-LOC
가	가	JKS	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
서남쪽	서남쪽	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
서귀포	서귀포	NNP	B-LOC
_	_	_	O
대정읍	대정읍	NNP	B-LOC
_	_	_	O
일대	일대	NNG	O
.	.	SF	O
_	_	_	O
JDC	JDC	SL	B-ORG
는	는	JX	O
_	_	_	O
이곳	이곳	NP	O
에	에	JKB	O
_	_	_	O
2021	2021	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
1	1	SN	B-MNY
조	조	NNG	I-MNY
7810	7810	SN	I-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
투입해	투입하+여	VV+EC	O
_	_	_	O
379	379	SN	B-NOH
만	만	NR	I-NOH
2000	2000	SN	I-NOH
㎡	㎡	SW	I-NOH
(	(	SS	O
115	115	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
평	평	NNB	I-NOH
)	)	SS	O
_	_	_	O
규모	규모	NNG	O
로	로	JKB	O
_	_	_	O
도시	도시	NNG	O
를	를	JKO	O
_	_	_	O
조성	조성	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 루고의 콜드브루 커피는 차가운 물에서 오랜 시간에 걸쳐 추출한 더치커피의 부드럽고 깊은 맛을 시원하게 즐길 수 있는 커피음료로 시그니처 콜드브루, 콜드브루 큐브라떼, 콜드브루 플랏 등 3종으로 선보인다.
## 루고의 콜드브루 커피는 차가운 물에서 오랜 시간에 걸쳐 추출한 더치커피의 부드럽고 깊은 맛을 시원하게 즐길 수 있는 커피음료로 시그니처 콜드브루, 콜드브루 큐브라떼, 콜드브루 플랏 등 <3종:NOH>으로 선보인다.
루고	루고	NNG	O
의	의	JKG	O
_	_	_	O
콜드	콜드	NNG	O
브루	브루	NNP	O
_	_	_	O
커피	커피	NNG	O
는	는	JX	O
_	_	_	O
차가	차갑	VA	O
운	ㄴ	ETM	O
_	_	_	O
물	물	NNG	O
에서	에서	JKB	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
시간	시간	NNG	O
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
추출한	추출하+ㄴ	VV+ETM	O
_	_	_	O
더치커피	더치커피	NNG	O
의	의	JKG	O
_	_	_	O
부드럽	부드럽	VA	O
고	고	EC	O
_	_	_	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
맛	맛	NNG	O
을	을	JKO	O
_	_	_	O
시원하	시원하	VA	O
게	게	EC	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
커피	커피	NNG	O
음료	음료	NNG	O
로	로	JKB	O
_	_	_	O
시	시	NNG	O
그니	그니	NP	O
처	처	NNG	O
_	_	_	O
콜드	콜드	NNG	O
브루	브루	NNP	O
,	,	SP	O
_	_	_	O
콜드	콜드	NNG	O
브루	브루	NNP	O
_	_	_	O
큐브	큐브	NNG	O
라떼	라떼	NNG	O
,	,	SP	O
_	_	_	O
콜드	콜드	NNG	O
브루	브루	NNP	O
_	_	_	O
플랏	플랏	NNP	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
종	종	NNG	I-NOH
으로	으로	JKB	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 역시 패딩, 코트 등 외투 물량을 브랜드별로 20∼30% 늘려 준비했다.
## 역시 패딩, 코트 등 외투 물량을 브랜드별로 <20:PNT>∼<30%:PNT> 늘려 준비했다.
역시	역시	MAG	O
_	_	_	O
패딩	패딩	NNG	O
,	,	SP	O
_	_	_	O
코트	코트	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
외투	외투	NNG	O
_	_	_	O
물량	물량	NNG	O
을	을	JKO	O
_	_	_	O
브랜드	브랜드	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
20	20	SN	B-PNT
∼	∼	SO	O
30	30	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
늘려	늘리+어	VV+EC	O
_	_	_	O
준비	준비하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 시장에선 실적 악화 속에서도 배당을 늘린 삼성전자의 결정을 두 가지로 해석했다.
## 시장에선 실적 악화 속에서도 배당을 늘린 <삼성전자:ORG>의 결정을 <두 가지:NOH>로 해석했다.
시장	시장	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
실적	실적	NNG	O
_	_	_	O
악화	악화	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
배당	배당	NNG	O
을	을	JKO	O
_	_	_	O
늘린	늘리+ㄴ	VV+ETM	O
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
의	의	JKG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
로	로	JKB	O
_	_	_	O
해석	해석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 이번 대회에서 영진전문대는 우수상 등 14명이 입상했다.
## 이번 대회에서 <영진전문대:ORG>는 우수상 등 <14명:NOH>이 입상했다.
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
_	_	_	O
영진	영진	NNG	B-ORG
전문대	전문대	NNG	I-ORG
는	는	JX	O
_	_	_	O
우	우	NNG	O
수상	수상	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
14	14	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
입상	입상하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 이봉주•김영호 등 전 국가대표 선수들의 참석해 전시물품을 기증하는 행사가 성황리에 치러졌다.
## <이봉주:PER>•<김영호:PER> 등 전 국가대표 선수들의 참석해 전시물품을 기증하는 행사가 성황리에 치러졌다.
이봉주	이봉주	NNP	B-PER
•	•	SF	O
김영호	김영호	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
전	전	MM	O
_	_	_	O
국가	국가	NNG	O
대표	대표	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
참석해	참석하+여	VV+EC	O
_	_	_	O
전시	전시	NNG	O
물품	물품	NNG	O
을	을	JKO	O
_	_	_	O
기증하	기증하	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
가	가	JKS	O
_	_	_	O
성황리	성황리	NNG	O
에	에	JKB	O
_	_	_	O
치	치르	VV	O
러	어+지	EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 강원라마다는 평창올림픽 최대 수혜지로 올림픽을 테마로 한 객실 중 일부를 올림픽 스타들의 스토리로 꾸며 숙박객에게 테디베어 디자인 금메달을 증정하며, 수익일부를 올림픽 스타의 이름으로 기부하는 테마호텔로 꾸며질 예정이다.
## <강원라마다:ORG>는 <평창올림픽:POH> 최대 수혜지로 올림픽을 테마로 한 객실 중 일부를 올림픽 스타들의 스토리로 꾸며 숙박객에게 테디베어 디자인 금메달을 증정하며, 수익일부를 올림픽 스타의 이름으로 기부하는 테마호텔로 꾸며질 예정이다.
강원	강원	NNG	B-ORG
라마다	라마다	NNP	I-ORG
는	는	JX	O
_	_	_	O
평창	평창	NNP	B-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
최대	최대	NNG	O
_	_	_	O
수혜	수혜	NNG	O
지	지	XSN	O
로	로	JKB	O
_	_	_	O
올림픽	올림픽	NNG	O
을	을	JKO	O
_	_	_	O
테마	테마	NNG	O
로	로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
객실	객실	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
일부	일부	NNG	O
를	를	JKO	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
스타	스타	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
스토리	스토리	NNG	O
로	로	JKB	O
_	_	_	O
꾸며	꾸미+어	VV+EC	O
_	_	_	O
숙박	숙박	NNG	O
객	객	XSN	O
에게	에게	JKB	O
_	_	_	O
테디	테디	NNP	O
베어	베어	NNG	O
_	_	_	O
디자인	디자인	NNG	O
_	_	_	O
금메달	금메달	NNG	O
을	을	JKO	O
_	_	_	O
증정하	증정하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
수익	수익	NNG	O
일부	일부	NNG	O
를	를	JKO	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
스타	스타	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
으로	으로	JKB	O
_	_	_	O
기부하	기부하	VV	O
는	는	ETM	O
_	_	_	O
테마	테마	NNG	O
호텔	호텔	NNG	O
로	로	JKB	O
_	_	_	O
꾸며	꾸미+어	VV+EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

